Phylum,Species,SPECIES_TOTAL ,Species_total_Group,AMR detected ,,
Bacillota,Paenibacillus_A sp000159955,1,1 Isolate,N,,
Actinomycetota,Aestuariimicrobium spp.,1,1 Isolate,Y,,
Actinomycetota,Brachybacterium muris,6,6 Isolates,Y,,
Actinomycetota,Brachybacterium paraconglomeratum,1,1 Isolate,Y,,
Pseudomonadota,Citrobacter freundii,1,1 Isolate,Y,,
Actinomycetota,Corynebacterium accolens,1,1 Isolate,Y,,
Actinomycetota,Corynebacterium glucuronolyticum,2,2 Isolates,Y,,
Actinomycetota,Corynebacterium pseudodiphtheriticum,1,1 Isolate,Y,,
Actinomycetota,Corynebacterium sanguinis,18,18 Isolates,Y,,
Actinomycetota,Corynebacterium spp.,4,4 Isolates,Y,,
Actinomycetota,Dermabacter vaginalis,1,1 Isolate,Y,,
Pseudomonadota,Enterobacter hormaechei_A,1,1 Isolate,Y,,
Bacillota,Enterococcus faecalis,1,1 Isolate,Y,,
Pseudomonadota,Escherichia coli,1,1 Isolate,Y,,
Bacillota,Granulicatella adiacens,1,1 Isolate,Y,,
Bacillota,Helcococcus kunzii,1,1 Isolate,Y,,
Pseudomonadota,Klebsiella aerogenes,1,1 Isolate,Y,,
Pseudomonadota,Klebsiella pneumoniae,1,1 Isolate,Y,,
Bacillota,Lysinibacillus capsici,1,1 Isolate,Y,,
Actinomycetota,Micrococcus luteus,60,60 Isolates,Y,,
Pseudomonadota,Morganella morganii,1,1 Isolate,Y,,
Bacillota,Paenibacillus sp001860525,1,1 Isolate,Y,,
Pseudomonadota,Raoultella ornithinolytica,1,1 Isolate,Y,,
Bacillota,Staphylococcus aureus,2,2 Isolates,Y,,
Bacillota,Staphylococcus capitis,1,1 Isolate,Y,,
Bacillota,Staphylococcus epidermidis,6,6 Isolates,Y,,
Bacillota,Staphylococcus hominis,2,2 Isolates,Y,,
Bacillota,Staphylococcus saprophyticus,1,1 Isolate,Y,,122
Bacillota,Staphylococcus urealyticus,1,1 Isolate,Y,,
Bacillota,Staphylococcus warneri,1,1 Isolate,Y,,
Actinomycetota,Brachybacterium spp.,2,2 Isolates,N,,
Actinomycetota,Brevibacterium casei,4,4 Isolates,N,,
Actinomycetota,Brevibacterium spp.,1,1 Isolate,N,,
Actinomycetota,Citricoccus terreus,1,1 Isolate,N,,
Actinomycetota,Corynebacterium amycolatum,2,2 Isolates,N,,
Actinomycetota,Corynebacterium appendicis,1,1 Isolate,N,,
Actinomycetota,Corynebacterium kefirresidentii,1,1 Isolate,N,,
Actinomycetota,Corynebacterium mucifaciens,1,1 Isolate,N,,
Actinomycetota,Corynebacterium propinquum,1,1 Isolate,N,,
Actinomycetota,Cutibacterium avidum,1,1 Isolate,N,,
Actinomycetota,Dermabacter hominis,5,5 Isolates,N,,
Actinomycetota,Dermacoccus abyssi,1,1 Isolate,N,,
Actinomycetota,Dermacoccus nishinomiyaensis,1,1 Isolate,N,,
Actinomycetota,Dietzia cercidiphylli,1,1 Isolate,N,,
Actinomycetota,Dietzia cinnamea,10,10 Isolates,N,,
Actinomycetota,Dietzia maris,1,1 Isolate,N,,
Actinomycetota,Gordonia sp002009645,1,1 Isolate,N,,
Actinomycetota,Janibacter hoylei,1,1 Isolate,N,,
Actinomycetota,Kocuria carniphila,1,1 Isolate,N,,
Actinomycetota,Kocuria marina,3,3 Isolates,N,,
Actinomycetota,Kocuria marina_A,1,1 Isolate,N,,
Actinomycetota,Kocuria palustris,2,2 Isolates,N,,
Actinomycetota,Kocuria rhizophila,3,3 Isolates,N,,
Actinomycetota,Kocuria spp.,1,1 Isolate,N,,
Actinomycetota,Microbacterium enclense_A,1,1 Isolate,N,,
Actinomycetota,Microbacterium paraoxydans,1,1 Isolate,N,,
Actinomycetota,Micromonospora chalcea,1,1 Isolate,N,,
Actinomycetota,Nesterenkonia massiliensis,1,1 Isolate,N,,
Bacillota,Niallia taxi,1,1 Isolate,N,,
Bacillota,Oceanobacillus kimchii,1,1 Isolate,N,,
Bacillota,Peribacillus frigoritolerans,1,1 Isolate,N,,
Actinomycetota,Pseudoclavibacter alba,1,1 Isolate,N,,
Actinomycetota,Pseudoglutamicibacter cumminsii_A,1,1 Isolate,N,,
Actinomycetota,Rothia kristinae,1,1 Isolate,N,,
Actinomycetota,Rothia massiliensis,1,1 Isolate,N,,
Bacteroidota,Sphingobacterium daejeonense,1,1 Isolate,N,,
Bacteroidota,Sphingobacterium hotanense,1,1 Isolate,N,,
