Species,Phylum,SPECIES_TOTAL ,Species_total_Group
Aestuariimicrobium spp.,Actinomycetota,1,1 Isolate
Brachybacterium paraconglomeratum,Actinomycetota,1,1 Isolate
Brevibacterium spp.,Actinomycetota,1,1 Isolate
Citricoccus terreus,Actinomycetota,1,1 Isolate
Corynebacterium accolens,Actinomycetota,1,1 Isolate
Corynebacterium amycolatum,Actinomycetota,1,1 Isolate
Corynebacterium amycolatum_A,Actinomycetota,1,1 Isolate
Corynebacterium appendicis,Actinomycetota,1,1 Isolate
Corynebacterium kefirresidentii,Actinomycetota,1,1 Isolate
Corynebacterium mucifaciens,Actinomycetota,1,1 Isolate
Corynebacterium propinquum,Actinomycetota,1,1 Isolate
Cutibacterium avidum,Actinomycetota,1,1 Isolate
Dermabacter vaginalis,Actinomycetota,1,1 Isolate
Dermacoccus abyssi,Actinomycetota,1,1 Isolate
Dermacoccus nishinomiyaensis,Actinomycetota,1,1 Isolate
Dietzia cercidiphylli,Actinomycetota,1,1 Isolate
Dietzia spp.,Actinomycetota,1,1 Isolate
Gordonia sp002009645,Actinomycetota,1,1 Isolate
Kocuria carniphila,Actinomycetota,1,1 Isolate
Kocuria marina_A,Actinomycetota,1,1 Isolate
Microbacterium enclense_A,Actinomycetota,1,1 Isolate
Microbacterium paraoxydans,Actinomycetota,1,1 Isolate
Micromonospora chalcea,Actinomycetota,1,1 Isolate
Nesterenkonia massiliensis,Actinomycetota,1,1 Isolate
Pseudoclavibacter alba,Actinomycetota,1,1 Isolate
Pseudoglutamicibacter cumminsii_A,Actinomycetota,1,1 Isolate
Rothia massiliensis,Actinomycetota,1,1 Isolate
Enterococcus faecalis,Bacillota,1,1 Isolate
Granulicatella adiacens,Bacillota,1,1 Isolate
Niallia taxi,Bacillota,1,1 Isolate
Paenibacillus sp001860525,Bacillota,1,1 Isolate
Paenibacillus_A sp000159955,Bacillota,1,1 Isolate
Peribacillus frigoritolerans,Bacillota,1,1 Isolate
Staphylococcus capitis,Bacillota,1,1 Isolate
Staphylococcus saprophyticus,Bacillota,1,1 Isolate
Staphylococcus urealyticus,Bacillota,1,1 Isolate
Sphingobacterium daejeonense,Bacteroidota,1,1 Isolate
Sphingobacterium hotanense,Bacteroidota,1,1 Isolate
Enterobacter hormaechei_A,Pseudomonadota,1,1 Isolate
Morganella morganii,Pseudomonadota,1,1 Isolate
Raoultella ornithinolytica,Pseudomonadota,1,1 Isolate
Brachybacterium spp.,Actinomycetota,2,2-5 Isolates
Corynebacterium glucuronolyticum,Actinomycetota,2,2-5 Isolates
Corynebacterium pseudodiphtheriticum,Actinomycetota,2,2-5 Isolates
Dietzia maris,Actinomycetota,2,2-5 Isolates
Janibacter hoylei,Actinomycetota,2,2-5 Isolates
Kocuria palustris,Actinomycetota,2,2-5 Isolates
Kocuria spp.,Actinomycetota,2,2-5 Isolates
Helcococcus kunzii,Bacillota,2,2-5 Isolates
Oceanobacillus kimchii,Bacillota,2,2-5 Isolates
Staphylococcus aureus,Bacillota,2,2-5 Isolates
Staphylococcus hominis,Bacillota,2,2-5 Isolates
Citrobacter freundii,Pseudomonadota,2,2-5 Isolates
Staphylococcus warneri,Bacillota,3,2-5 Isolates
Corynebacterium spp.,Actinomycetota,4,2-5 Isolates
Kocuria marina,Actinomycetota,4,2-5 Isolates
Kocuria rhizophila,Actinomycetota,4,2-5 Isolates
Lysinibacillus capsici,Bacillota,5,2-5 Isolates
Brachybacterium muris,Actinomycetota,6,6-10 Isolates
Brevibacterium casei,Actinomycetota,6,6-10 Isolates
Klebsiella aerogenes,Pseudomonadota,6,6-10 Isolates
Klebsiella pneumoniae,Pseudomonadota,6,6-10 Isolates
Escherichia coli,Pseudomonadota,7,6-10 Isolates
Dermabacter hominis,Actinomycetota,9,6-10 Isolates
Rothia kristinae,Actinomycetota,9,6-10 Isolates
Dietzia cinnamea,Actinomycetota,20,20+ Isolates
Staphylococcus epidermidis,Bacillota,23,20+ Isolates
Corynebacterium sanguinis,Actinomycetota,25,20+ Isolates
Micrococcus luteus,Actinomycetota,85,20+ Isolates
