Sequence_Run_ID,Submitted_SampleID,Updated_SampleID,Current_R1_file_path,Current_R2_file_path,Updated_R1_file_path,Updated_R2_file_path,StudyID,SubjectID,SkinSite,TimePoint,Date,Extraction_Kit_Number,Host_ID
LKMG001,LKMN002-3-96_S295,LKMG001-3-96,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMN002-3-96_S295_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMN002-3-96_S295_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-3-96_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-3-96_R2_001.fastq.gz,-80 freezer handle,NA,Neg,,,1,
LKMG001,LKMN002-3-94_S293,LKMG001-3-94,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMN002-3-94_S293_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMN002-3-94_S293_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-3-94_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-3-94_R2_001.fastq.gz,20 strain community,NA,Mock,,,1,
LKMG001,LKMB002-4-03_S171,LKMG001-4-03,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-4-03_S171_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-4-03_S171_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-4-03_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-4-03_R2_001.fastq.gz,BSC handle,NA,Neg,,,1,
LKMG001,LKMB002-1-58_S57,LKMG001-1-58,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-1-58_S57_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-1-58_S57_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-1-58_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-1-58_R2_001.fastq.gz,Neg-air-190709,NA,Neg,,190709,1,
LKMG001,LKMB002-1-92_S91,LKMG001-1-92,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-1-92_S91_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-1-92_S91_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-1-92_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-1-92_R2_001.fastq.gz,Neg-air-190911,NA,Neg,,190911,1,
LKMG001,LKMB002-2-005_S164,LKMG001-2-005,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-005_S164_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-005_S164_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-005_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-005_R2_001.fastq.gz,Neg-air-190912,NA,Neg,,190912,1,
LKMG001,LKMB002-2-038_S129,LKMG001-2-038,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-038_S129_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-038_S129_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-038_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-038_R2_001.fastq.gz,Neg-air-190916,NA,Neg,,190916,1,
LKMG001,LKMB002-2-047_S138,LKMG001-2-047,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-047_S138_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-047_S138_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-047_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-047_R2_001.fastq.gz,Neg-air-190917,NA,Neg,,190917,1,
LKMG001,LKMB002-2-078_S185,LKMG001-2-078,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-078_S185_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-078_S185_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-078_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-078_R2_001.fastq.gz,Neg-air-190923,NA,Neg,,190923,1,
LKMG001,LKMB002-2-095_S202,LKMG001-2-095,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-095_S202_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMB002-2-095_S202_R2_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-095_R1_001.fastq.gz,//researchdrive_files/Sequencing_Data/Metagenomic_Data/MG0001/Kalan_Project_004/LKMG001-2-095_R2_001.fastq.gz,Neg-air-190924,NA,Neg,,190924,1,
