Source_Name,Strain_ID,Other_ID,Host_ID,Host_Category,Location,bioassay completed(Y/N),included in bioassay analysis (Y/N),genome sequenced (Y/N),genome dereplicated,Genus,species,Taxonomy_Notes,,Initial_Isolation_Date,Isolation_Method,Isolation_Media,Pure_Culture_Media,Isolation_Notes,Analysis_Type,spacer_2,Cryo_Storage_Date,Cryo_Storage_Type,Cryo_Storage_Creator,Freezer_Number,Rack_Number,Box_Number,Vial_Position,Storage_Notes,spacer_1,PMID,DOI,Notes,Record_Date,Record_Creator
Skin Microbiome Study,LK1188,p3-SID1156,KHID89,Healthy Skin,Alar crease,Y,Y,Y,Y,Aestuariimicrobium,,GTDB-tk by RS on 3/9/22,,2019-09-19,10^0,BT,BHI + Tween,,,,2019-12-16,,SAS,,,15,59,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK1127,p3-SID1463,KHID124,Healthy Skin,Volar forearm,Y,Y,N,N,Bacillus,,,,2019-09-16,10^0,BD,BHI + Tween,,,,2019-12-10,,SAS,,,14,79,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK429,p3-SID722,KHID39,Healthy Skin,Antecubital fossa,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-26,10^-1,BT,BHI,,,,2019-08-01,,IKL,,,6,29,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK585,p3-SID848,KHID79,Healthy Skin,Antecubital fossa,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-29,10^-1,BT,BHI,,,,2019-08-06,,IKL,,,8,23,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK597,p3-SID669,KHID60,Healthy Skin,Occiput,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-26,10^-1,BT,BHI,,,,2019-08-29,,IKL,,,8,35,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK603,p3-SID873,KHID56,Healthy Skin,Umbilicus,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-29,10^-2,BH,BHI,,,,2019-08-29,,IKL,,,8,41,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK660,p3-SID708,KHID29,Healthy Skin,Back,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-26,10^-1,BT,BHI,,,,2019-08-12,,IKL,,,9,17,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK681,p3-SID755,KHID31,Healthy Skin,Antecubital fossa,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-26,10^-1,BT,BHI,,,,2019-08-12,,IKL,,,9,38,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK692,p3-SID757,KHID31,Healthy Skin,Antecubital fossa,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-26,10^-1,BH,BHI,,,,2019-08-12,,IKL,,,9,49,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK696,p3-SID623,KHID62,Healthy Skin,Volar forearm,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-26,10^-1,BL,BHI,,,,2019-08-12,,IKL,,,9,53,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK722,p3-SID787,KHID74,Healthy Skin,Alar crease,Y,Y,N,N,Bacillus,,16s by SAS 9/26/19,,2019-07-29,10^-1,BL,BHI,,,,2019-08-12,,IKL,,,9,79,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK864,p3-SID1204,KHID104,Healthy Skin,Alar crease,Y,Y,N,N,Bacillus,,,,2019-09-19,10^0,BD,BHI,,,,2019-10-28,,SAS,,,11,59,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK1085,p3-SID1565,KHID140,Healthy Skin,Volar forearm,Y,Y,Y,Y,Brachybacterium,,GTDB-tk by RS on 3/9/22,,2019-09-17,10^0,B,BHI + Tween,,,,2019-12-10,,SAS,,,14,37,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK1183,p3-SID950,KHID94,Healthy Skin,Antecubital fossa,Y,Y,N,N,Brachybacterium,,,,2019-09-19,10^0,BT,BHI + Tween,,,,2019-12-16,,SAS,,,15,54,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK1352,p3-SID957,KHID89,Healthy Skin,Alar crease,Y,Y,Y,Y,Brachybacterium,,GTDB-tk by RS on 3/9/22,,2019-09-19,10^0,BD,BHI + Tween,,,,2019-12-29,,SAS,,,17,61,,,,,,2020-05-18 08:30,Shelby Sandstrom
Skin Microbiome Study,LK1024,p3-SID1365,KHID144,Healthy Skin,Alar crease,Y,Y,Y,Y,Brachybacterium,muris,GTDB-tk by RS on 3/9/22,,2019-09-16,10^0,B,BHI + Tween,,,,2019-11-23,,SAS,,,13,57,,,,,,2020-05-18 08:30,Shelby Sandstrom
