gene,LK1006.rgi,LK1015.rgi,LK1017.rgi,LK1030.rgi,LK1031.rgi,LK1034.rgi,LK1046.rgi,LK1054.rgi,LK1059.rgi,LK1078.rgi,LK1079.rgi,LK1092.rgi,LK1093.rgi,LK1095.rgi,LK1096.rgi,LK1098.rgi,LK1102.rgi,LK1110.rgi,LK1116.rgi,LK1128.rgi,LK1134.rgi,LK1136.rgi,LK1137.rgi,LK1138.rgi,LK1139.rgi,LK1140.rgi,LK115.rgi,LK1157.rgi,LK1167.rgi,LK1172.rgi,LK1176.rgi,LK1188.rgi,LK1198.rgi,LK120.rgi,LK1204.rgi,LK1232.rgi,LK1247.rgi,LK1249.rgi,LK1255.rgi,LK1256.rgi,LK1257.rgi,LK1264.rgi,LK1266.rgi,LK1267.rgi,LK1268.rgi,LK1277.rgi,LK1278.rgi,LK1279.rgi,LK1283.rgi,LK1289.rgi,LK1311.rgi,LK1312.rgi,LK1321.rgi,LK1347.rgi,LK1348.rgi,LK1351.rgi,LK1358.rgi,LK1362.rgi,LK1367.rgi,LK1386.rgi,LK1397.rgi,LK1403.rgi,LK1404.rgi,LK1421.rgi,LK1422.rgi,LK1434.rgi,LK1436.rgi,LK145.rgi,LK1467.rgi,LK1468.rgi,LK1469.rgi,LK1474.rgi,LK1475.rgi,LK1486.rgi,LK1487.rgi,LK1489.rgi,LK1493.rgi,LK1505.rgi,LK1508.rgi,LK1519.rgi,LK1520.rgi,LK1521.rgi,LK1522.rgi,LK1523.rgi,LK153.rgi,LK1532.rgi,LK1533.rgi,LK1535.rgi,LK1552.rgi,LK162.rgi,LK199.rgi,LK210.rgi,LK235.rgi,LK237.rgi,LK238.rgi,LK247.rgi,LK257.rgi,LK259.rgi,LK289.rgi,LK308.rgi,LK336.rgi,LK34.rgi,LK340.rgi,LK345.rgi,LK346.rgi,LK352.rgi,LK354.rgi,LK355.rgi,LK363.rgi,LK368.rgi,LK369.rgi,LK37.rgi,LK383.rgi,LK401.rgi,LK405.rgi,LK411.rgi,LK413.rgi,LK414.rgi,LK415.rgi,LK417.rgi,LK421.rgi,LK428.rgi,LK439.rgi,LK442.rgi,LK444.rgi,LK445.rgi,LK458.rgi,LK459.rgi,LK460.rgi,LK464.rgi,LK465.rgi,LK466.rgi,LK469.rgi,LK470.rgi,LK479.rgi,LK485.rgi,LK488.rgi,LK489.rgi,LK494.rgi,LK500.rgi,LK501.rgi,LK518.rgi,LK523.rgi,LK524.rgi,LK525.rgi,LK526.rgi,LK527.rgi,LK533.rgi,LK538.rgi,LK542.rgi,LK557.rgi,LK561.rgi,LK570.rgi,LK572.rgi,LK583.rgi,LK586.rgi,LK588.rgi,LK590.rgi,LK591.rgi,LK593.rgi,LK595.rgi,LK602.rgi,LK605.rgi,LK61.rgi,LK610.rgi,LK617.rgi,LK619.rgi,LK630.rgi,LK639.rgi,LK666.rgi,LK668.rgi,LK669.rgi,LK670.rgi,LK671.rgi,LK679.rgi,LK68.rgi,LK687.rgi,LK7.rgi,LK704.rgi,LK709.rgi,LK712.rgi,LK716.rgi,LK724.rgi,LK729.rgi,LK841.rgi,LK894.rgi,LK930.rgi,LK931.rgi,LK935.rgi,LK938.rgi,LK945.rgi,LK946.rgi,LK948.rgi,LK949.rgi,LK952.rgi,LK960.rgi,LK970.rgi,LK975.rgi,LK984.rgi
Trimethoprim-resistant dihydrofolate reductase DfrA42,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1
baeR,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
emrR,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli mdfA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella pneumoniae KpnF,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rsmA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRP,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mdtC,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acrD,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
