Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK1337	p3-SID960	GCF_025144725.1	KHID89	Healthy Skin	Alar crease
LK1027	p3-SID1340	GCF_025152225.1	KHID143	Healthy Skin	Toe web space
LK1094	p3-SID1519	GCF_025143725.1	KHID143	Healthy Skin	Toe web space
LK1363	p3-SID1059	GCF_025152425.1	KHID119	Healthy Skin	Toe web space
LK978	p3-SID1381	GCF_025151775.1	KHID143	Healthy Skin	Toe web space
LK1301	p3-SID1514	GCF_025149755.1	KHID143	Healthy Skin	Toe web space
LK904	p3-SID1233	GCF_025144065.1	KHID111	Healthy Skin	Toe web space
LK1085	p3-SID1565	GCF_025143785.1	KHID140	Healthy Skin	Volar forearm
LK1352	p3-SID957	GCF_025144775.1	KHID89	Healthy Skin	Alar crease
LK1024	p3-SID1365	GCF_025151965.1	KHID144	Healthy Skin	Alar crease
LK1045	p3-SID1369	GCF_025151835.1	KHID144	Healthy Skin	Alar crease
LK1350	p3-SID1171	GCF_025144205.1	KHID86	Healthy Skin	Antecubital fossa
LK1404	p3-SID2535	GCF_025148185.1	KHID75	Healthy Skin	Nares
LK630	p3-SID772	GCF_025146185.1	KHID77	Healthy Skin	Back
LK1302	p3-SID1351	GCF_025152195.1	KHID144	Healthy Skin	Alar crease
LK938	p3-SID1200	GCF_025144125.1	KHID111	Healthy Skin	Toe web space
LK1077	p3-SID1639	GCF_025151115.1	KHID136	Healthy Skin	Alar crease
LK1080	p3-SID1644	GCF_025151025.1	KHID136	Healthy Skin	Alar crease
LK1082	p3-SID1646	GCF_025150985.1	KHID137	Healthy Skin	Nares
LK1245	p3-SID1680	GCF_025150875.1	KHID136	Healthy Skin	Alar crease
LK1252	p3-SID1727	GCF_025149545.1	KHID158	Healthy Skin	Umbilicus
LK1351	p3-SID955	GCF_025144805.1	KHID90	Healthy Skin	Nares
LK522	p3-SID877	GCF_025145325.1	KHID64	Healthy Skin	Umbilicus
LK557	p3-SID715	GCA_025146485.1	KHID40	Healthy Skin	Umbilicus
LK1288	p3-SID1823	GCF_025149405.1	KHID137	Healthy Skin	Nares
LK1257	p3-SID1716	GCF_025150725.1	KHID147	Healthy Skin	Back
LK1386	p3-SID2517	GCF_025148405.1	KHID48	Healthy Skin	Umbilicus
LK1128	p3-SID1508	GCF_025149825.1	KHID140	Healthy Skin	Volar forearm
LK538	p3-SID813	GCF_025150145.1	KHID77	Healthy Skin	Back
