BodySite	CumulativeDepth	GCFsDiscovered
Moist_Um	0.0	0
Moist_Um	51159319.99999999	56
Moist_Um	99146117.99992	97
Moist_Um	145750863.99992	133
Moist_Um	188595131.99988002	192
Moist_Um	227861757.99988002	194
Moist_Um	266966161.99994004	202
Moist_Um	302346285.99992	253
Moist_Um	337113633.99994004	268
Moist_Um	371464781.99990004	278
Moist_Um	405692745.9998801	291
Moist_Um	438864401.99992007	316
Moist_Um	468209413.99990004	333
Moist_Um	497400685.99988	339
Moist_Um	526466611.99992	360
Moist_Um	555419107.99994	369
Moist_Um	583871913.99992	374
Moist_Um	611154899.99994	405
Moist_Um	635921043.9999601	411
Moist_Um	660186587.99992	430
Moist_Um	683022795.99992	445
Moist_Um	705286291.99994	447
Moist_Um	726822871.99994	480
Moist_Um	746690529.99992	499
Moist_Um	766227189.99992	522
Moist_Um	784086115.99992	547
Moist_Um	800978797.99988	563
Moist_Um	817740805.9999	566
Moist_Um	831185599.99992	582
Moist_Um	839964031.99992	591
Moist_Um	846756949.99992	596
Moist_Um	849714733.99992	598
Moist_Um	851748163.99992	608
Moist_Um	853580719.99992	610
Moist_Na	0.0	0
Moist_Na	11843694.0	15
Moist_Na	19094060.0	40
Moist_Na	23854346.0	51
Moist_Na	28290474.0	66
Moist_Na	32668016.0	71
Moist_Na	36925118.0	77
Moist_Na	39657676.0	79
Moist_Na	42266864.0	89
Moist_Na	44632128.0	94
Moist_Na	46931630.0	102
Moist_Na	49086794.0	110
Moist_Na	51129614.0	110
Moist_Na	52504870.0	119
Moist_Na	53826336.0	126
Moist_Na	55005894.0	126
Moist_Na	55907246.0	128
Moist_Na	56794318.0	131
Moist_Na	57631374.0	132
Moist_Na	58324892.0	133
Moist_Na	58911954.0	136
Moist_Na	59379816.0	138
Moist_Na	59846112.0	139
Moist_Na	60267766.0	143
Moist_Na	60642940.0	143
Moist_Na	61017830.0	144
Moist_Na	61378180.0	146
Moist_Na	61710076.0	149
Moist_Na	61982282.0	149
Moist_Na	62178828.0	149
Sebaceous_Al	0.0	0
Sebaceous_Al	53349269.99999999	16
Sebaceous_Al	106412351.99995999	52
Sebaceous_Al	151306341.99996	55
Sebaceous_Al	196130741.99996	62
Sebaceous_Al	240209008.0	76
Sebaceous_Al	278988465.99996	90
Sebaceous_Al	317570611.99992	104
Sebaceous_Al	352727003.99996	114
Sebaceous_Al	387802535.99996	114
Sebaceous_Al	421931947.99996	128
Sebaceous_Al	456059213.99998	134
Sebaceous_Al	489151393.99998	139
Sebaceous_Al	516706593.99998	147
Sebaceous_Al	542247429.99996	154
Sebaceous_Al	567661341.9999199	160
Sebaceous_Al	590549765.99996	167
Sebaceous_Al	611557485.99996	178
Sebaceous_Al	631859079.99998	179
Sebaceous_Al	650360333.99996	183
Sebaceous_Al	668495293.99996	185
Sebaceous_Al	686453946.0	188
Sebaceous_Al	703921596.0	191
Sebaceous_Al	719964118.00004	193
Sebaceous_Al	735342160.0	198
Sebaceous_Al	750620258.00002	207
Sebaceous_Al	762317978.00002	209
Sebaceous_Al	773882366.00002	212
Sebaceous_Al	785374658.00002	215
Sebaceous_Al	794857628.00002	220
Sebaceous_Al	802921142.00002	225
Sebaceous_Al	810305842.00002	225
Sebaceous_Al	817180576.00002	228
Sebaceous_Al	823883278.00002	236
Rarely_Moist_Af	0.0	0
Rarely_Moist_Af	36167933.999979995	20
Rarely_Moist_Af	69774536.00002	30
Rarely_Moist_Af	100387174.00002	57
Rarely_Moist_Af	125366410.00004	81
Rarely_Moist_Af	146410868.00006	141
Rarely_Moist_Af	166397448.00006	159
Rarely_Moist_Af	185921770.00002	173
Rarely_Moist_Af	202689830.00002	205
Rarely_Moist_Af	218825046.00002	216
Rarely_Moist_Af	234219392.0	248
Rarely_Moist_Af	249398336.0	253
Rarely_Moist_Af	264135212.0	262
Rarely_Moist_Af	278869052.0	305
Rarely_Moist_Af	293515217.99998	314
Rarely_Moist_Af	304766517.99998	316
Rarely_Moist_Af	315887101.99998	341
Rarely_Moist_Af	326980127.99998	354
Rarely_Moist_Af	337980341.99998	360
Rarely_Moist_Af	348841461.99998	371
Rarely_Moist_Af	358029769.99998	375
Rarely_Moist_Af	365917071.99998	401
Rarely_Moist_Af	373404445.99998	409
Rarely_Moist_Af	380524313.99998	417
Rarely_Moist_Af	387318881.99998	420
Rarely_Moist_Af	393853629.99998	427
Rarely_Moist_Af	400222889.99998	430
Rarely_Moist_Af	405229381.99998	436
Rarely_Moist_Af	409938917.99998	438
Rarely_Moist_Af	413407413.99998	441
Rarely_Moist_Af	416678597.99998	442
Rarely_Moist_Af	419331407.99998	444
