BodySite	Permutation	CumulativeDepth	GCFsDiscovered
Moist_Um	1	0-1e8	13
Moist_Um	1	0-1e8	18
Moist_Um	1	0-1e8	26
Moist_Um	1	1e8-2e8	30
Moist_Um	1	1e8-2e8	37
Moist_Um	1	1e8-2e8	38
Moist_Um	1	2e8-3e8	47
Moist_Um	1	2e8-3e8	58
Moist_Um	1	2e8-3e8	64
Moist_Um	1	2e8-3e8	64
Moist_Um	1	2e8-3e8	64
Moist_Um	1	3e8-4e8	67
Moist_Um	1	3e8-4e8	68
Moist_Um	1	3e8-4e8	70
Moist_Um	1	4e8-5e8	70
Moist_Um	1	4e8-5e8	70
Moist_Um	1	4e8-5e8	77
Moist_Um	1	5e8-6e8	78
Moist_Um	1	5e8-6e8	78
Moist_Um	1	5e8-6e8	82
Moist_Um	1	5e8-6e8	86
Moist_Um	1	6e8-7e8	86
Moist_Um	1	6e8-7e8	87
Moist_Um	1	6e8-7e8	89
Moist_Um	1	6e8-7e8	95
Moist_Um	1	7e8-8e8	95
Moist_Um	1	7e8-8e8	97
Moist_Um	1	7e8-8e8	97
Moist_Um	1	7e8-8e8	97
Moist_Um	1	7e8-8e8	97
Moist_Um	1	7e8-8e8	97
Moist_Um	1	8e8-9e8	97
Moist_Um	1	8e8-9e8	98
Moist_Um	2	0-1e8	10
Moist_Um	2	0-1e8	24
Moist_Um	2	0-1e8	27
Moist_Um	2	1e8-2e8	32
Moist_Um	2	1e8-2e8	34
Moist_Um	2	1e8-2e8	35
Moist_Um	2	1e8-2e8	39
Moist_Um	2	1e8-2e8	42
Moist_Um	2	1e8-2e8	44
Moist_Um	2	1e8-2e8	47
Moist_Um	2	2e8-3e8	47
Moist_Um	2	2e8-3e8	49
Moist_Um	2	3e8-4e8	54
Moist_Um	2	3e8-4e8	63
Moist_Um	2	3e8-4e8	63
Moist_Um	2	3e8-4e8	63
Moist_Um	2	3e8-4e8	71
Moist_Um	2	4e8-5e8	71
Moist_Um	2	4e8-5e8	71
Moist_Um	2	4e8-5e8	78
Moist_Um	2	5e8-6e8	80
Moist_Um	2	5e8-6e8	80
Moist_Um	2	5e8-6e8	80
Moist_Um	2	5e8-6e8	81
Moist_Um	2	6e8-7e8	82
Moist_Um	2	6e8-7e8	82
Moist_Um	2	7e8-8e8	82
Moist_Um	2	7e8-8e8	86
Moist_Um	2	7e8-8e8	87
Moist_Um	2	7e8-8e8	91
Moist_Um	2	8e8-9e8	91
Moist_Um	2	8e8-9e8	96
Moist_Um	2	8e8-9e8	98
Moist_Um	3	0-1e8	11
Moist_Um	3	0-1e8	24
Moist_Um	3	1e8-2e8	28
Moist_Um	3	1e8-2e8	41
Moist_Um	3	1e8-2e8	47
Moist_Um	3	2e8-3e8	47
Moist_Um	3	2e8-3e8	51
Moist_Um	3	2e8-3e8	51
Moist_Um	3	2e8-3e8	54
Moist_Um	3	2e8-3e8	58
Moist_Um	3	3e8-4e8	58
Moist_Um	3	3e8-4e8	58
Moist_Um	3	3e8-4e8	59
Moist_Um	3	3e8-4e8	61
Moist_Um	3	4e8-5e8	65
Moist_Um	3	4e8-5e8	65
Moist_Um	3	5e8-6e8	65
Moist_Um	3	5e8-6e8	65
Moist_Um	3	5e8-6e8	65
Moist_Um	3	5e8-6e8	72
Moist_Um	3	5e8-6e8	79
Moist_Um	3	5e8-6e8	79
Moist_Um	3	5e8-6e8	79
Moist_Um	3	6e8-7e8	80
Moist_Um	3	6e8-7e8	82
Moist_Um	3	6e8-7e8	88
Moist_Um	3	6e8-7e8	89
Moist_Um	3	7e8-8e8	93
Moist_Um	3	7e8-8e8	94
Moist_Um	3	7e8-8e8	94
Moist_Um	3	8e8-9e8	94
Moist_Um	3	8e8-9e8	94
Moist_Um	3	8e8-9e8	98
Moist_Um	4	0-1e8	23
Moist_Um	4	0-1e8	32
Moist_Um	4	1e8-2e8	40
Moist_Um	4	1e8-2e8	49
Moist_Um	4	1e8-2e8	49
Moist_Um	4	1e8-2e8	58
Moist_Um	4	1e8-2e8	60
Moist_Um	4	1e8-2e8	60
Moist_Um	4	2e8-3e8	63
Moist_Um	4	2e8-3e8	64
Moist_Um	4	2e8-3e8	66
Moist_Um	4	2e8-3e8	66
Moist_Um	4	3e8-4e8	70
Moist_Um	4	3e8-4e8	80
Moist_Um	4	3e8-4e8	81
Moist_Um	4	3e8-4e8	81
Moist_Um	4	4e8-5e8	83
Moist_Um	4	4e8-5e8	87
Moist_Um	4	4e8-5e8	87
Moist_Um	4	4e8-5e8	89
Moist_Um	4	5e8-6e8	90
