Strain_ID,Bioassay_ID,Host_ID,Host_Category,Host_Description,Media_Type,Date_Innoculated,Bioassay_Date,Username,Bioassay_Type,Pathogen_Name,Pathogen_Only_Control,Bioassay_Activity,Bioassay_Notes,Notes,original.score,score.classification,simplified.score,Genus,species
LK1000,BID16822,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16823,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus cereus - PID30,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16824,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus subtilis - PID29,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16825,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Mycobacterium smegmatis - PID1,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0,Kocuria,
LK1000,BID16826,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Norcardia corynebacteroides - PID5,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0,Kocuria,
LK1000,BID16827,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus epidermidis - PID18,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0,Kocuria,
LK1000,BID16828,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Micrococcus luteus - PID19,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16829,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0,Kocuria,
LK1000,BID16830,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16831,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16832,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16833,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16834,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Klebsiella oxytoca - PID21,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16835,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Citrobacter freundii - PID22,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16836,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Proteus vulgaris - PID24,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16837,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Serratia marcescens 8055 - PID31,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16838,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Acinetobacter baumannii - PID42,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1000,BID16839,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Cryptococcus neoformans (H99) - PID49,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2,Kocuria,
LK1000,BID16840,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Candida albicans (K1) - PID39,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1,Kocuria,
LK1000,BID16841,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Candida sp. - PID36,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2,Kocuria,
LK1000,BID16842,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Trichosporon asahii - PID56,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1,Kocuria,
LK1000,BID16843,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Metarhizium sp. - PID43,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2,Kocuria,
LK1000,BID16844,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Trichoderma sp. - PID44,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2,Kocuria,
LK1000,BID16845,p3-HID214,Human,Umbilicus,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Aspergillus flavus - PID14,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Kocuria,
LK1002,BID16877,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterococcus faecalis - PID41,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16878,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Escherichia coli - PID37,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16893,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Aspergillus flavus - PID14,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16891,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Metarhizium sp. - PID43,no,no,path didn't grow,,-1,no data,-1,Micrococcus,luteus
LK1002,BID16873,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Mycobacterium smegmatis - PID1,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16880,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa 27873 - PID25,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16872,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus subtilis - PID29,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16882,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Klebsiella oxytoca - PID21,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16892,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichoderma sp. - PID44,yes,yes,,,3,complete inhibition,2,Micrococcus,luteus
LK1002,BID16889,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida sp. - PID36,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16879,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16881,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterobacter cloacae - PID17,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16890,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichosporon asahii - PID56,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16874,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Norcardia corynebacteroides - PID5,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16884,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Proteus vulgaris - PID24,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16885,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Serratia marcescens 8055 - PID31,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16876,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Micrococcus luteus - PID19,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16883,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Citrobacter freundii - PID22,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16871,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus cereus - PID30,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16888,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida albicans (K1) - PID39,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16870,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus aureus (MRSA) - PID40,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16887,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Cryptococcus neoformans (H99) - PID49,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1002,BID16886,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Acinetobacter baumannii - PID42,yes,no,,,1,no inhibition,0,Micrococcus,luteus
LK1002,BID16875,p3-HID205,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus epidermidis - PID18,yes,yes,,,2,zone of inhibition,1,Micrococcus,luteus
LK1003,BID16895,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus cereus - PID30,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16907,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Citrobacter freundii - PID22,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16899,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus epidermidis - PID18,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16894,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus aureus (MRSA) - PID40,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16906,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Klebsiella oxytoca - PID21,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16905,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterobacter cloacae - PID17,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16896,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus subtilis - PID29,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16897,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Mycobacterium smegmatis - PID1,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16902,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Escherichia coli - PID37,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
