DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	Body Sites
FIELD_LABELS	Sebaceous	Rarely Moist	Moist
DATA
LK1188	1	0	0
LK1085	0	1	0
LK1352	1	0	0
LK1024	1	0	0
LK1045	1	0	0
LK1350	0	1	0
LK1404	0	0	1
LK630	1	0	0
LK1337	1	0	0
LK1027	0	0	1
LK1094	0	0	1
LK1363	0	0	1
LK978	0	0	1
LK1176	0	0	1
LK494	0	0	1
LK704	0	0	1
LK1289	0	0	1
LK931	1	0	0
LK434	0	0	1
LK444	0	0	1
LK1348	0	1	0
LK488	0	0	1
LK935	0	0	1
LK561	0	0	1
LK465	0	0	1
LK466	0	0	1
LK1030	1	0	0
LK1041	0	1	0
LK1059	0	0	1
LK1239	0	0	1
LK1269	0	0	1
LK1272	0	0	1
LK1346	0	1	0
LK1366	0	1	0
LK1367	1	0	0
LK411	0	1	0
LK432	1	0	0
LK519	0	1	0
LK586	1	0	0
LK672	0	1	0
LK687	1	0	0
LK871	0	1	0
LK936	1	0	0
LK942	1	0	0
LK950	1	0	0
LK955	1	0	0
LK956	0	1	0
LK1077	1	0	0
LK1080	1	0	0
LK1082	0	0	1
LK1245	1	0	0
LK1252	0	0	1
LK1351	0	0	1
LK522	0	0	1
LK557	0	0	1
LK1257	1	0	0
LK1386	0	0	1
LK1128	0	1	0
LK951	0	0	1
LK1006	1	0	0
LK1017	1	0	0
LK1031	1	0	0
LK1046	1	0	0
LK1092	0	0	1
LK1247	1	0	0
LK1249	1	0	0
LK1256	0	1	0
LK1266	0	0	1
LK1267	0	0	1
LK1277	0	1	0
LK1278	0	1	0
LK439	1	0	0
LK639	1	0	0
LK984	1	0	0
LK949	0	0	1
LK591	1	0	0
LK405	0	0	1
LK1139	1	0	0
LK1140	1	0	0
LK1157	0	0	1
LK1198	1	0	0
LK1232	0	0	1
LK1054	0	0	1
LK1204	1	0	0
LK1403	0	0	1
LK617	0	0	1
LK538	1	0	0
LK679	1	0	0
LK500	1	0	0
LK501	1	0	0
LK525	1	0	0
LK526	1	0	0
LK527	1	0	0
LK442	0	0	1
LK458	0	0	1
LK469	0	0	1
LK583	0	0	1
LK619	0	0	1
LK670	0	0	1
LK1000	0	0	1
LK960	1	0	0
LK572	1	0	0
LK1237	1	0	0
LK1250	0	1	0
LK478	0	1	0
LK579	1	0	0
LK698	1	0	0
LK1093	0	0	1
LK1246	1	0	0
LK1021	0	0	1
LK1055	0	0	1
LK1120	0	1	0
LK934	0	0	1
LK666	1	0	0
LK668	1	0	0
LK669	1	0	0
LK1118	1	0	0
LK1002	0	1	0
LK1007	0	0	1
LK1008	1	0	0
LK1009	1	0	0
LK1012	0	0	1
LK1014	0	1	0
LK1018	0	1	0
LK1019	0	1	0
LK1022	0	1	0
LK1025	1	0	0
LK1026	0	1	0
LK1036	0	1	0
LK1048	1	0	0
LK1049	1	0	0
LK1050	1	0	0
LK1051	1	0	0
LK1053	1	0	0
LK1056	1	0	0
LK1070	1	0	0
LK1072	0	1	0
LK1073	0	1	0
LK1090	1	0	0
LK1091	0	0	1
LK1099	1	0	0
LK1104	0	1	0
LK1105	0	1	0
LK1106	0	1	0
LK1113	0	0	1
LK1117	1	0	0
LK1121	0	1	0
LK1145	1	0	0
LK1147	1	0	0
LK1159	0	1	0
LK1173	1	0	0
LK1206	1	0	0
LK1207	1	0	0
LK1208	1	0	0
LK1224	0	1	0
LK1231	0	1	0
LK1274	0	1	0
LK1275	0	1	0
LK1306	0	1	0
LK1330	0	1	0
LK1334	0	0	1
LK1335	0	1	0
LK1379	1	0	0
LK1380	0	1	0
LK1382	0	1	0
LK1383	0	1	0
LK1384	0	1	0
LK1390	1	0	0
LK1392	1	0	0
LK1393	1	0	0
LK1397	1	0	0
LK1400	1	0	0
LK1402	0	1	0
LK400	0	0	1
LK402	1	0	0
LK408	0	0	1
LK409	0	1	0
LK410	0	1	0
LK412	0	1	0
LK419	1	0	0
LK426	1	0	0
LK427	0	1	0
LK430	0	1	0
LK441	1	0	0
LK443	0	1	0
LK455	1	0	0
LK467	0	1	0
LK517	0	1	0
LK542	1	0	0
LK553	0	0	1
LK566	1	0	0
LK569	1	0	0
LK604	0	0	1
LK661	0	1	0
LK694	0	1	0
LK697	0	1	0
LK705	0	1	0
LK719	0	1	0
LK941	1	0	0
LK945	0	1	0
LK1098	0	0	1
LK518	0	1	0
LK712	0	1	0
LK1102	1	0	0
LK1172	1	0	0
LK1034	0	0	1
LK479	0	1	0
LK464	1	0	0
LK1279	0	1	0
LK570	0	0	1
LK1086	0	1	0
LK1244	1	0	0
LK1259	1	0	0
LK1263	1	0	0
LK1282	0	0	1
LK1285	1	0	0
LK1287	0	0	1
LK1112	0	0	1
LK421	0	0	1
LK485	0	0	1
LK524	0	0	1
LK1255	0	0	1
LK1095	1	0	0
LK1096	1	0	0
LK1110	1	0	0
LK1116	1	0	0
LK1136	1	0	0
LK1137	1	0	0
LK1138	1	0	0
LK1167	0	1	0
LK1264	0	0	1
LK401	1	0	0
LK445	0	1	0
LK459	0	1	0
LK460	0	1	0
LK470	0	0	1
LK523	1	0	0
LK533	1	0	0
LK588	1	0	0
LK590	0	1	0
LK593	0	1	0
LK595	1	0	0
LK602	0	1	0
LK605	1	0	0
LK417	0	0	1
LK428	0	1	0
LK489	0	1	0
LK1015	0	0	1
LK413	1	0	0
LK414	1	0	0
LK415	1	0	0
LK1302	1	0	0
LK938	0	0	1
LK1301	0	0	1
LK904	0	0	1
LK1358	0	1	0
LK946	1	0	0
LK952	0	0	1
LK948	0	0	1
LK1134	1	0	0
LK930	0	1	0
LK1270	0	0	1
LK1360	1	0	0
LK1362	1	0	0
LK700	1	0	0
LK953	1	0	0
LK1288	0	0	1
LK1268	0	0	1
LK1283	1	0	0
LK1312	1	0	0
LK970	1	0	0
LK975	1	0	0
LK1321	0	0	1
LK1078	1	0	0
LK1079	1	0	0
LK894	0	0	1
LK671	0	0	1
LK716	0	1	0
LK1311	0	0	1
LK508	0	0	1
LK540	1	0	0
LK792	1	0	0
LK1347	0	0	1
LK1281	0	0	1
LK1284	1	0	0
LK729	1	0	0
LK610	1	0	0
