node	num_samples	label
607	2	
887	2	
1231	2	
1369	2	
2457	2	
2527	2	T3PKS
2528	1	terpene
2530	1	
2547	2	betalactone
2548	2	
2556	2	
2557	3	
2558	3	ectoine
2564	1	NRPS-like
2565	1	
2566	2	
2581	1	siderophore
2582	1	
2616	2	NRPS
2618	1	
2619	1	
2620	1	
2622	2	RiPP-like
2624	1	NAPAA
2628	1	
2630	1	arylpolyene
2633	1	
2634	1	
2672	1	
2675	1	
2678	3	
2681	3	
2686	2	
2687	2	
2688	1	
2689	1	
2690	1	
2704	2	
2705	2	
2722	1	RRE-containing
2725	1	
2726	1	
2728	2	
2729	2	
2730	2	
2734	1	
2742	1	
2755	1	
2756	1	
2757	1	
2758	1	
2759	1	
2760	1	
2761	1	
2769	2	
2771	2	
2773	1	
2774	1	
2776	2	
2778	2	
2779	1	
2782	2	
2802	3	
2805	1	
2811	3	
2812	1	
2818	1	
2821	1	
2826	2	
2864	2	
2865	2	
2870	2	
2873	1	
2876	2	
2883	1	
2887	2	
2905	1	
2906	2	
2907	2	
2910	3	
2936	3	
2938	3	
2939	3	
2940	3	
2943	3	
2966	1	
2967	1	
2968	1	
2969	1	
2970	2	
2971	1	
2984	2	
2992	1	cyclic-lactone-autoinducer
2993	1	
3013	1	
3023	1	
3024	1	
3025	1	
3031	2	
3033	1	
3034	2	
3035	2	
3057	3	
3066	2	
3069	3	
3070	3	
3076	1	
3077	1	
3078	1	
3079	1	
3080	1	
3081	1	
3082	1	
3083	1	
3084	1	
3086	2	
3087	2	T1PKS
3097	2	
3101	2	
3102	2	
3103	2	
3104	1	
3105	1	
3106	1	
3107	1	
3108	1	
3109	1	
3110	1	
3111	1	
3112	1	
3113	1	
3114	1	
3115	1	
3116	1	
3117	1	
3118	1	
3119	1	
3120	1	
3121	1	
3128	1	
3136	1	
3137	1	
3138	1	
3152	1	
3153	2	
3155	3	
3156	3	
3158	3	
3160	1	
3161	2	
3162	2	
3177	1	
3190	1	
3192	2	
3193	1	
3196	2	
3197	2	
3198	2	
3199	2	
3202	2	
3205	1	
3206	1	
3249	1	
3250	1	
3251	1	
3252	1	
3253	1	
3254	1	
3255	1	
3256	1	
3257	1	
3258	1	
3259	1	
3261	1	
3262	1	
3264	1	
3265	2	
3287	1	
3289	2	
3292	1	
3293	2	
3294	2	
3295	1	
3297	1	
3301	2	
3308	2	
3311	1	
3316	1	
3317	1	
3318	1	
3321	1	
3325	2	
3326	3	
3327	3	
3330	1	
3331	1	
3332	1	
3333	1	
3334	1	
3335	1	
3336	1	
3337	1	
3339	1	
3340	1	
3341	1	
3342	2	
3343	1	
3344	1	
3345	1	
3346	1	
3347	1	
3348	1	
3349	1	
3350	1	
3351	1	
3353	1	
3355	1	
3356	1	
3357	1	
3358	2	
3359	1	
3360	1	
3361	1	
3362	1	
3363	1	
3364	1	
3365	2	
3366	1	
3371	2	
3374	1	
3378	1	
3379	2	
3386	1	
3390	2	
3394	2	
3396	1	
3397	1	
3409	1	
3417	3	
3418	2	
3419	3	
3420	2	
3421	3	
3423	3	
3435	2	
3436	2	
3519	2	
3748	2	
3751	2	
3755	2	
3768	2	
3772	2	
3788	2	
3856	2	
3858	2	
3881	2	
3902	2	
3909	2	
3948	2	
3954	2	
3957	2	
3959	2	
3961	3	
3962	2	
3967	2	
4066	2	
4091	2	
4110	2	
4150	2	
4191	2	
4234	2	
4260	2	
4317	2	
4318	2	
4332	3	
4456	3	
4575	2	
4580	2	
4598	2	
4863	2	
4894	2	
4908	2	
4909	2	
4910	2	
5005	2	
5071	2	
5298	2	
5361	2	
5364	2	
5366	2	
5371	2	
5372	2	
5498	2	
5502	2	
5512	2	
5616	2	
5619	2	
5624	2	
5626	3	
5654	2	
5661	2	
5662	2	
5663	2	
5665	2	
5673	2	
