BodySite	CumulativeDepth	GCFsDiscovered
Moist_Tw	0.0	0
Moist_Tw	58050128.0	17
Moist_Tw	107063344.0	25
Moist_Tw	154155066.0	26
Moist_Tw	199465306.0	27
Moist_Tw	243647340.0	33
Moist_Tw	287264058.0	33
Moist_Tw	330778444.0	34
Moist_Tw	371917174.0	35
Moist_Tw	412061382.0	35
Moist_Tw	449764212.0	36
Moist_Tw	484595054.0	36
Moist_Tw	519110804.0	45
Moist_Tw	553177324.0	45
Moist_Tw	586808594.0	45
Moist_Tw	618425120.0	51
Moist_Tw	649913872.0	53
Moist_Tw	680061564.0	56
Moist_Tw	709581844.0	74
Moist_Tw	738924526.0	75
Moist_Tw	766988970.0	76
Moist_Tw	794719674.0	83
Moist_Tw	821302598.0	83
Moist_Tw	847616178.0	83
Moist_Tw	873356700.0	83
Moist_Tw	896753880.0	85
Moist_Tw	915170824.0	85
Moist_Tw	932378154.0	85
Moist_Tw	943595088.0	86
Moist_Tw	944634926.0	86
Moist_Tw	945271532.0	86
Rarely_Moist_Af	0.0	0
Rarely_Moist_Af	36167934.0	18
Rarely_Moist_Af	69774536.0	24
Rarely_Moist_Af	100387174.0	34
Rarely_Moist_Af	125366410.0	50
Rarely_Moist_Af	146410868.0	53
Rarely_Moist_Af	166397448.0	56
Rarely_Moist_Af	185921770.0	62
Rarely_Moist_Af	202689830.0	67
Rarely_Moist_Af	218825046.0	71
Rarely_Moist_Af	234219392.0	83
Rarely_Moist_Af	249398336.0	83
Rarely_Moist_Af	264135212.0	85
Rarely_Moist_Af	278869052.0	87
Rarely_Moist_Af	293515218.0	90
Rarely_Moist_Af	304766518.0	93
Rarely_Moist_Af	315887102.0	94
Rarely_Moist_Af	326980128.0	95
Rarely_Moist_Af	337980342.0	95
Rarely_Moist_Af	348841462.0	97
Rarely_Moist_Af	358029770.0	100
Rarely_Moist_Af	365917072.0	100
Rarely_Moist_Af	373404446.0	100
Rarely_Moist_Af	380524314.0	102
Rarely_Moist_Af	387318882.0	102
Rarely_Moist_Af	393853630.0	102
Rarely_Moist_Af	400222890.0	102
Rarely_Moist_Af	405229382.0	102
Rarely_Moist_Af	409938918.0	102
Rarely_Moist_Af	413407414.0	102
Rarely_Moist_Af	416678598.0	102
Rarely_Moist_Af	419331408.0	106
Rarely_Moist_Af	421309514.0	106
Rarely_Moist_Af	422869788.0	106
Rarely_Moist_Af	424375950.0	106
Sebaceous_Al	0.0	0
Sebaceous_Al	53349270.0	7
Sebaceous_Al	106412352.0	22
Sebaceous_Al	151306342.0	23
Sebaceous_Al	196130742.0	28
Sebaceous_Al	240209008.0	31
Sebaceous_Al	278988466.0	31
Sebaceous_Al	317570612.0	35
Sebaceous_Al	352727004.0	36
Sebaceous_Al	387802536.0	36
Sebaceous_Al	421931948.0	38
Sebaceous_Al	456059214.0	39
Sebaceous_Al	489151394.0	42
Sebaceous_Al	516706594.0	43
Sebaceous_Al	542247430.0	48
Sebaceous_Al	567661342.0	48
Sebaceous_Al	590549766.0	50
Sebaceous_Al	611557486.0	56
Sebaceous_Al	631859080.0	57
Sebaceous_Al	650360334.0	57
Sebaceous_Al	668495294.0	58
Sebaceous_Al	686453946.0	59
Sebaceous_Al	703921596.0	59
Sebaceous_Al	719964118.0	59
Sebaceous_Al	735342160.0	59
Sebaceous_Al	750620258.0	59
Sebaceous_Al	762317978.0	60
Sebaceous_Al	773882366.0	60
Sebaceous_Al	785374658.0	63
Sebaceous_Al	794857628.0	65
Sebaceous_Al	802921142.0	65
Sebaceous_Al	810305842.0	65
Sebaceous_Al	817180576.0	65
Sebaceous_Al	823883278.0	71
Rarely_Moist_Vf	0.0	0
Rarely_Moist_Vf	40172238.0	17
Rarely_Moist_Vf	70504474.0	39
Rarely_Moist_Vf	100360484.0	48
Rarely_Moist_Vf	128971546.0	50
Rarely_Moist_Vf	154037070.0	60
Rarely_Moist_Vf	178301858.0	62
Rarely_Moist_Vf	199604664.0	64
Rarely_Moist_Vf	220186480.0	68
Rarely_Moist_Vf	240711706.0	77
Rarely_Moist_Vf	259801868.0	78
Rarely_Moist_Vf	276959844.0	80
Rarely_Moist_Vf	293579946.0	85
Rarely_Moist_Vf	310065636.0	85
Rarely_Moist_Vf	326455626.0	86
Rarely_Moist_Vf	342473070.0	88
Rarely_Moist_Vf	358179924.0	90
Rarely_Moist_Vf	371596346.0	94
Rarely_Moist_Vf	384425180.0	98
Rarely_Moist_Vf	395211398.0	100
Rarely_Moist_Vf	405194640.0	102
Rarely_Moist_Vf	414434170.0	102
Rarely_Moist_Vf	422637314.0	102
Rarely_Moist_Vf	430633756.0	102
Rarely_Moist_Vf	438578704.0	102
Rarely_Moist_Vf	445384882.0	102
Rarely_Moist_Vf	450265818.0	102
Rarely_Moist_Vf	454141468.0	102
Rarely_Moist_Vf	457321660.0	102
Rarely_Moist_Vf	460469772.0	103
Rarely_Moist_Vf	462601922.0	103
Rarely_Moist_Vf	464378356.0	103
Rarely_Moist_Vf	465817462.0	103
Rarely_Moist_Vf	467113340.0	103
