sample,Representative following Dereplication at 99% ANI,AntiSMASH_Results_Directory,Assembly_Path,GTDB_Taxonomy,Domain,Phylum,Class,Order,Family,Genus,Species
LK1002,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1002/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1002_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
LK1006,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1006/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1006_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;s__Dietzia cinnamea,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Dietzia,Dietzia cinnamea
LK1008,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1008/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1008_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
LK1009,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1009/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1009_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
LK1012,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1012/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1012_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
LK1015,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1015/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1015_assembly.fasta,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus urealyticus,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus urealyticus
LK1018,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1018/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1018_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
LK1019,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1019/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1019_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
LK1021,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1021/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/200402_LK1021_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria rhizophila
LK1022,Yes,/researchdrive_files/Sequencing_Data/bacterial_genomes/antismash_6/skin_microbiome_study/LK1022/,/researchdrive_files/Sequencing_Data/bacterial_genomes/assemblies_wo_short_contigs/201020_LK1022_assembly.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus
