genus,phylum,met_abun,iso_abun
Bacillus,Bacillota,4.68219215754309e-4,0.026311934884196652
Brachybacterium,Actinomycetota,0.0012507190875307962,0.01467390985444323
Brevibacterium,Actinomycetota,0.003570262448962636,0.02849450521206246
Cellulosimicrobium,Actinomycetota,9.35779084711871e-5,0.02631578947368421
Citricoccus,Actinomycetota,4.7823125123329984e-5,0.011659488377045628
Citrobacter,Pseudomonadota,1.1661827926637949e-4,0.0273972602739726
Corynebacterium,Actinomycetota,0.19200568979835772,0.06205828336797206
Cutibacterium,Actinomycetota,0.4433585699948236,0.007633587786259542
Dermabacter,Actinomycetota,0.001247311325402252,0.027653298780780246
Dermacoccus,Actinomycetota,3.339350925882875e-4,0.008813733345741979
Dietzia,Actinomycetota,0.0012350299303983266,0.03300973548501401
Enterobacter,Pseudomonadota,3.5140144663966285e-4,0.007633587786259542
Enterococcus,Bacillota,2.6776170925098416e-4,0.013157894736842105
Escherichia,Pseudomonadota,1.5637230279441554e-6,0.03278259960263516
Gordonia,Actinomycetota,0.001307164414406057,0.0136986301369863
Granulicatella,Bacillota,3.8944807988761565e-4,0.0070921985815602835
Helcococcus,Actinomycetota,2.760064067269682e-5,0.02631578947368421
Janibacter,Actinomycetota,0.0011287808783435542,0.014235055724417427
Klebsiella,Pseudomonadota,0.001641268684697115,0.037844405735217246
Kocuria,Actinomycetota,0.005571936624840823,0.022365031716008052
Kytococcus,Actinomycetota,0.001235073633581195,0.010101010101010102
Lysinibacillus,Bacillota,1.2070534256799334e-5,0.01540290237773094
Microbacterium,Actinomycetota,0.0016610496184423526,0.008621933621933621
Micrococcus,Actinomycetota,0.04373889317168902,0.3265783004551864
Micromonospora,Actinomycetota,1.4829144197085279e-4,0.0094038061254832
Nesterenkonia,Actinomycetota,3.233845529994813e-4,0.007875363807567197
Paenibacillus,Bacillota,1.0598398133886366e-4,0.010666108961622922
Pseudoclavibacter,Actinomycetota,2.0121784667004395e-4,0.007633587786259542
Raoultella,Pseudomonadota,6.281047373717718e-5,0.0136986301369863
Rhodococcus,Actinomycetota,2.4982099198902265e-4,0.007633587786259542
Rothia,Actinomycetota,0.0037043968634566204,0.021309526055116056
Sphingobacterium,Bacteroidota,0.0011413175677707631,0.04040404040404041
Staphylococcus,Bacillota,0.12956805938058047,0.13758659362824605
