metagenome	body_site	body_site_type	database	value
LKMN002-3-62-S261	Vf	Rarely Moist	2. SBCC	15.66
LKMN002-3-62-S261	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	40.61
LKMN002-3-62-S261	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	42.41
LKMN002-3-62-S261	Vf	Rarely Moist	6. EPIC + SMGC	75.39
LKMN002-3-62-S261	Vf	Rarely Moist	1. EPIC	14.51
LKMN002-3-62-S261	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	39.27
LKMB002-1-14-S18	Af	Rarely Moist	2. SBCC	21.69
LKMB002-1-14-S18	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	60.50
LKMB002-1-14-S18	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	66.52
LKMB002-1-14-S18	Af	Rarely Moist	6. EPIC + SMGC	80.86
LKMB002-1-14-S18	Af	Rarely Moist	1. EPIC	26.36
LKMB002-1-14-S18	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	64.87
LKMB002-1-23-S27	Um	Moist	2. SBCC	30.00
LKMB002-1-23-S27	Um	Moist	4. SBCC + C. acnes ATCC 6919	30.11
LKMB002-1-23-S27	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	37.55
LKMB002-1-23-S27	Um	Moist	6. EPIC + SMGC	51.08
LKMB002-1-23-S27	Um	Moist	1. EPIC	31.97
LKMB002-1-23-S27	Um	Moist	3. EPIC + C. acnes ATCC 6919	32.08
LKMB002-2-052-S143	Um	Moist	2. SBCC	49.39
LKMB002-2-052-S143	Um	Moist	4. SBCC + C. acnes ATCC 6919	49.63
LKMB002-2-052-S143	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	61.47
LKMB002-2-052-S143	Um	Moist	6. EPIC + SMGC	92.82
LKMB002-2-052-S143	Um	Moist	1. EPIC	51.97
LKMB002-2-052-S143	Um	Moist	3. EPIC + C. acnes ATCC 6919	52.21
LKMN002-3-19-S222	Vf	Rarely Moist	2. SBCC	22.14
LKMN002-3-19-S222	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	74.72
LKMN002-3-19-S222	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	78.20
LKMN002-3-19-S222	Vf	Rarely Moist	6. EPIC + SMGC	88.37
LKMN002-3-19-S222	Vf	Rarely Moist	1. EPIC	24.70
LKMN002-3-19-S222	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	76.89
LKMB002-2-081-S188	Vf	Rarely Moist	2. SBCC	21.30
LKMB002-2-081-S188	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	79.89
LKMB002-2-081-S188	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	80.71
LKMB002-2-081-S188	Vf	Rarely Moist	6. EPIC + SMGC	85.44
LKMB002-2-081-S188	Vf	Rarely Moist	1. EPIC	21.92
LKMB002-2-081-S188	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	80.08
LKMB002-2-010-S101	Um	Moist	2. SBCC	62.15
LKMB002-2-010-S101	Um	Moist	4. SBCC + C. acnes ATCC 6919	62.94
LKMB002-2-010-S101	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	84.91
LKMB002-2-010-S101	Um	Moist	6. EPIC + SMGC	92.82
LKMB002-2-010-S101	Um	Moist	1. EPIC	74.51
LKMB002-2-010-S101	Um	Moist	3. EPIC + C. acnes ATCC 6919	75.31
LKMB002-1-73-S72	Um	Moist	2. SBCC	17.46
LKMB002-1-73-S72	Um	Moist	4. SBCC + C. acnes ATCC 6919	17.62
LKMB002-1-73-S72	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	30.51
LKMB002-1-73-S72	Um	Moist	6. EPIC + SMGC	87.52
LKMB002-1-73-S72	Um	Moist	1. EPIC	27.94
LKMB002-1-73-S72	Um	Moist	3. EPIC + C. acnes ATCC 6919	28.10
LKMB002-2-001-S96	Um	Moist	2. SBCC	34.11
LKMB002-2-001-S96	Um	Moist	4. SBCC + C. acnes ATCC 6919	51.05
LKMB002-2-001-S96	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	66.45
LKMB002-2-001-S96	Um	Moist	6. EPIC + SMGC	76.49
LKMB002-2-001-S96	Um	Moist	1. EPIC	46.73
LKMB002-2-001-S96	Um	Moist	3. EPIC + C. acnes ATCC 6919	63.57
LKMB002-1-54-S159	Vf	Rarely Moist	2. SBCC	12.87
LKMB002-1-54-S159	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	27.85
LKMB002-1-54-S159	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	31.42
LKMB002-1-54-S159	Vf	Rarely Moist	6. EPIC + SMGC	46.33
LKMB002-1-54-S159	Vf	Rarely Moist	1. EPIC	13.78
LKMB002-1-54-S159	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	28.63
LKMB002-1-61-S60	Oc	Sebaceous	2. SBCC	22.64
LKMB002-1-61-S60	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	36.19
LKMB002-1-61-S60	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	39.52
LKMB002-1-61-S60	Oc	Sebaceous	6. EPIC + SMGC	53.91
LKMB002-1-61-S60	Oc	Sebaceous	1. EPIC	23.78
LKMB002-1-61-S60	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	37.22
LKMB002-1-03-S7	Oc	Sebaceous	2. SBCC	23.44
LKMB002-1-03-S7	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	76.28
LKMB002-1-03-S7	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	80.30
LKMB002-1-03-S7	Oc	Sebaceous	6. EPIC + SMGC	86.79
