Target	Isolate	SummmaryScore	NumberTested	IsolateGenus	IsolatePhylum	IsolateGenus_with_SampleSize
Fungal	LK1000	1.2	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1002	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1003	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1004	0.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1005	0.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1006	0.6	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1008	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1009	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1011	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1012	1.2	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1013	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1015	0.6	5	Staphylococcus	Bacillota	Staphylococcus (n=104)
Fungal	LK1017	0.4	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1018	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1019	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1021	1.6	5	Kocuria	Actinomycetota	Kocuria (n=19)
Fungal	LK1022	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1024	0.4	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK1026	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1027	1.8	5	Brevibacterium	Actinomycetota	Brevibacterium (n=7)
Fungal	LK1030	0.4	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1031	0.4	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1034	0.4	5	Paenibacillus	Bacillota	Paenibacillus (n=1)
Fungal	LK1036	0.4	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1041	0.4	5	Corynebacterium	Actinomycetota	Corynebacterium (n=45)
Fungal	LK1045	0.0	5	Brachybacterium	Actinomycetota	Brachybacterium (n=8)
Fungal	LK1046	0.4	5	Dietzia	Actinomycetota	Dietzia (n=21)
Fungal	LK1049	0.6	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
Fungal	LK1053	0.8	5	Micrococcus	Actinomycetota	Micrococcus (n=95)
