Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK1000	p3-SID1428	KHID134	Healthy Skin	Umbilicus	Y	Y	Y	N	Kocuria
LK1001	p3-SID1397	KHID128	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1002	p3-SID1338	KHID125	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK1003	p3-SID1426	KHID132	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK1004	p3-SID1453	KHID141	Healthy Skin	Antecubital fossa	Y	Y	N	N	Micrococcus
LK1005	p3-SID1398	KHID128	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK1006	p3-SID1371	KHID144	Healthy Skin	Alar crease	Y	Y	Y	Y	Dietzia
LK1007	p3-SID1420	KHID127	Healthy Skin	Toe web space	Y	N	Y	N	Micrococcus
LK1008	p3-SID1424	KHID130	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1009	p3-SID1373	KHID144	Healthy Skin	Alar crease	Y	Y	Y	Y	Micrococcus
LK1010	p3-SID1336	KHID125	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1011	p3-SID1419	KHID127	Healthy Skin	Toe web space	Y	Y	N	N	Micrococcus
LK1012	p3-SID1423	KHID129	Healthy Skin	Nares	Y	Y	Y	Y	Micrococcus
LK1013	p3-SID1386	KHID143	Healthy Skin	Toe web space	Y	Y	N	N	Micrococcus
LK1014	p3-SID1334	KHID125	Healthy Skin	Antecubital fossa	Y	N	Y	N	Micrococcus
LK1015	p3-SID1418	KHID127	Healthy Skin	Toe web space	Y	Y	Y	Y	Staphylococcus
LK1016	p3-SID1403	KHID125	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1017	p3-SID1362	KHID144	Healthy Skin	Alar crease	Y	Y	Y	N	Dietzia
LK1018	p3-SID1337	KHID125	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK1019	p3-SID1412	KHID125	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK1020	p3-SID1404	KHID125	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1021	p3-SID1383	KHID143	Healthy Skin	Toe web space	Y	Y	Y	Y	Kocuria
LK1022	p3-SID1333	KHID125	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK1023	p3-SID1368	KHID144	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1024	p3-SID1365	KHID144	Healthy Skin	Alar crease	Y	Y	Y	Y	Brachybacterium
LK1025	p3-SID1356	KHID144	Healthy Skin	Alar crease	Y	N	Y	N	Micrococcus
LK1026	p3-SID1335	KHID125	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK1027	p3-SID1340	KHID143	Healthy Skin	Toe web space	Y	Y	Y	Y	Brevibacterium
LK1028	p3-SID1360	KHID144	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1029	p3-SID1405	KHID125	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1030	p3-SID1430	KHID136	Healthy Skin	Alar crease	Y	Y	Y	Y	Corynebacterium
LK1031	p3-SID1363	KHID144	Healthy Skin	Alar crease	Y	Y	Y	Y	Dietzia
LK1032	p3-SID1132	KHID106	Healthy Skin	Occiput	N	N	N	N	
LK1033	p3-SID1372	KHID144	Healthy Skin	Alar crease	N	N	N	N	
LK1034	p3-SID1389	KHID129	Healthy Skin	Nares	Y	Y	Y	Y	Paenibacillus
LK1035	p3-SID1375	KHID144	Healthy Skin	Alar crease	N	N	N	N	
LK1036	p3-SID1891	KHID132	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1037	p3-SID1847	KHID133	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1038	p3-SID1890	KHID132	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1039	p3-SID770	KHID77	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1040	p3-SID1864	KHID130	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1041	p3-SID1427	KHID133	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Corynebacterium
LK1042	p3-SID1841	KHID132	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1043	p3-SID1909	KHID148	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1044	p3-SID1862	KHID130	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1045	p3-SID1369	KHID144	Healthy Skin	Alar crease	Y	Y	Y	Y	Brachybacterium
LK1046	p3-SID1900	KHID147	Healthy Skin	Back	Y	Y	Y	Y	Dietzia
LK1047	p3-SID1906	KHID148	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1048	p3-SID1866	KHID130	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
LK1049	p3-SID1876	KHID131	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK1050	p3-SID1863	KHID130	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
