genus	mean_antifungal_score	isolate_count	avg_rel_abd	prevalence	avg_bgcome_size	coloring	label
Kocuria	0.8526315789473684	3	0.5574648933160968	230.0	97783	prev	Kocuria
Micrococcus	0.6221052631578947	3	4.413110174	266.0	98972.31666666667	prev_and_abd	Micrococcus
Staphylococcus	0.39807692307692305	3	12.664040156704926	268.0	119621.14285714286	prev_and_abd	Staphylococcus
Dietzia	0.1904761904761905	3	0.12467530239554674	156.0	148626.33333333334	prev	
Brachybacterium	0.05	2	0.12544459279794562	171.0	38030.666666666664	prev	
Brevibacterium	1.4285714285714286	2	0.35858530098156216	220.0	91806	prev	Brevibacterium
Corynebacterium	0.16444444444444445	3	18.991940501252582	268.0	97984.09375	prev_and_abd	Corynebacterium
Paenibacillus	0.4	1	0.010929265569719366	73.0	338944	other	Paenibacillus
Gordonia	0.4	1	0.1306881738630099	173.0	481688	prev	Gordonia
Dermabacter	0.044444444444444446	2	0.1254620431720989	150.0	36235.666666666664	prev	
Rothia	0.9111111111111111	2	0.37301869730992654	236.0	60906.5	prev	Rothia
Morganella	1.6	1	0.001337851	4.0	62819	other	Morganella
Oceanobacillus	0.30000000000000004	2	0.0004051967300354676	0.0	184744	other	
Microbacterium	2.0	1	0.1659276624572031	206.0	88619	prev	Microbacterium
Dermacoccus	0.8	2	0.033741693	76.0	77070.5	other	
Escherichia	0.88	2	0.00016824465633259912	1.0	209798	other	
Citricoccus	0.7000000000000001	2	0.004817438	24.0	126755	other	
Granulicatella	0.0	1	0.039329898	132.0	41161	other	
Nesterenkonia	0.4	2	0.032610636	120.0	62778	other	
Pseudoclavibacter	0.0	1	0.020352332	42.0	63803	other	
Helcococcus	0.0	2	0.002785845	9.0	63807	other	
Enterococcus	0.0	1	0.027215342843470318	72.0	45057	other	
Sphingobacterium	1.6666666666666667	2	0.11382628471153591	77.0	102848	other	Sphingobacterium
Klebsiella	0.9142857142857143	3	0.1654280750756331	137.0	135742	prev	
Peribacillus	1.4	1	0.00043382491321622825	2.0	285825	other	Peribacillus
Citrobacter	0.8	2	0.012898552773356026	53.0	70183	other	
Janibacter	1.2	2	0.11372650674984869	150.0	102836	prev	Janibacter
Raoultella	0.4	1	0.006462973	18.0	165836	other	
Enterobacter	0.4	1	0.035989618	112.0	139196	other	
Lysinibacillus	0.7428571428571429	2	0.001262277	6.0	160329	other	
Micromonospora	0.0	1	0.014768187167709067	91.0	634784	other	Micromonospora
