Strain_ID,Body_Site,Site_Type,Genus,Phylum,Family,Species
LK1188,Alar crease,Sebaceous,Aestuariimicrobium,Actinomycetota,Propionibacteriaceae,
LK1127,Volar forearm,Rarely Moist,Bacillus,Bacillota,Bacillaceae,
LK429,Antecubital fossa,Rarely Moist,Bacillus,Bacillota,Bacillaceae,
LK585,Antecubital fossa,Rarely Moist,Bacillus,Bacillota,Bacillaceae,
LK597,Occiput,Sebaceous,Bacillus,Bacillota,Bacillaceae,
LK603,Umbilicus,Moist,Bacillus,Bacillota,Bacillaceae,
LK660,Back,Sebaceous,Bacillus,Bacillota,Bacillaceae,
LK681,Antecubital fossa,Rarely Moist,Bacillus,Bacillota,Bacillaceae,
LK692,Antecubital fossa,Rarely Moist,Bacillus,Bacillota,Bacillaceae,
LK696,Volar forearm,Rarely Moist,Bacillus,Bacillota,Bacillaceae,
LK722,Alar crease,Sebaceous,Bacillus,Bacillota,Bacillaceae,
LK864,Alar crease,Sebaceous,Bacillus,Bacillota,Bacillaceae,
LK1024,Alar crease,Sebaceous,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1045,Alar crease,Sebaceous,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1085,Volar forearm,Rarely Moist,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1183,Antecubital fossa,Rarely Moist,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1350,Antecubital fossa,Rarely Moist,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1352,Alar crease,Sebaceous,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1404,Nares,Moist,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK630,Back,Sebaceous,Brachybacterium,Actinomycetota,Dermabacteraceae,
LK1027,Toe web space,Moist,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK1094,Toe web space,Moist,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK1337,Alar crease,Sebaceous,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK1363,Toe web space,Moist,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK838,Back,Sebaceous,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK870,Toe web space,Moist,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK978,Toe web space,Moist,Brevibacterium,Actinomycetota,Brevibacteriaceae,
LK1174,Back,Sebaceous,Citricoccus,Actinomycetota,Micrococcaceae,
LK1176,Toe web space,Moist,Citricoccus,Actinomycetota,Micrococcaceae,
LK822,Toe web space,Moist,Citricoccus,Actinomycetota,Micrococcaceae,
LK912,Alar crease,Sebaceous,Citricoccus,Actinomycetota,Micrococcaceae,
LK494,Nares,Moist,Citrobacter,Pseudomonadota,Enterobacteriaceae,
LK704,Nares,Moist,Citrobacter,Pseudomonadota,Enterobacteriaceae,
LK1030,Alar crease,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1041,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1059,Toe web space,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1084,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1239,Umbilicus,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1269,Toe web space,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1272,Toe web space,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1289,Toe web space,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1340,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1346,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1348,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1349,Antecubital fossa,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1359,Back,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1365,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1366,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1367,Back,Sebaceous,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1387,Umbilicus,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK1388,Nares,Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
LK411,Volar forearm,Rarely Moist,Corynebacterium,Actinomycetota,Corynebacteriaceae,
