Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-13_S17	S002	Rarely_Moist_Vf	Cutibacterium	337478
LKMB002-1-13_S17	S002	Rarely_Moist_Vf	Corynebacterium	41392
LKMB002-1-13_S17	S002	Rarely_Moist_Vf	Micrococcus	15731
LKMB002-1-13_S17	S002	Rarely_Moist_Vf	Staphylococcus	14911
LKMB002-1-13_S17	S002	Rarely_Moist_Vf	Other	101119
LKMB002-2-001_S96	S012	Moist_Um	Cutibacterium	1072741
LKMB002-2-001_S96	S012	Moist_Um	Corynebacterium	1058569
LKMB002-2-001_S96	S012	Moist_Um	Micrococcus	365387
LKMB002-2-001_S96	S012	Moist_Um	Staphylococcus	208884
LKMB002-2-001_S96	S012	Moist_Um	Other	689874
LKMB002-2-055_S146	S019	Sebaceous_Ba	Cutibacterium	686441
LKMB002-2-055_S146	S019	Sebaceous_Ba	Corynebacterium	30505
LKMB002-2-055_S146	S019	Sebaceous_Ba	Micrococcus	588336
LKMB002-2-055_S146	S019	Sebaceous_Ba	Staphylococcus	127264
LKMB002-2-055_S146	S019	Sebaceous_Ba	Other	1802266
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Cutibacterium	407899
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Corynebacterium	283175
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Micrococcus	185990
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Staphylococcus	398850
LKMB002-1-64_S63	S008	Rarely_Moist_Af	Other	1711322
LKMB002-1-19_S23	S003	Sebaceous_Oc	Cutibacterium	11187044
LKMB002-1-19_S23	S003	Sebaceous_Oc	Corynebacterium	518763
LKMB002-1-19_S23	S003	Sebaceous_Oc	Micrococcus	859088
LKMB002-1-19_S23	S003	Sebaceous_Oc	Staphylococcus	317515
LKMB002-1-19_S23	S003	Sebaceous_Oc	Other	2918609
LKMB002-1-18_S22	S003	Moist_Na	Cutibacterium	109165
LKMB002-1-18_S22	S003	Moist_Na	Corynebacterium	133131
LKMB002-1-18_S22	S003	Moist_Na	Micrococcus	4108
LKMB002-1-18_S22	S003	Moist_Na	Staphylococcus	4738
LKMB002-1-18_S22	S003	Moist_Na	Other	125554
LKMB002-1-92_S91	S012	Moist_Na	Cutibacterium	275431
LKMB002-1-92_S91	S012	Moist_Na	Corynebacterium	473141
LKMB002-1-92_S91	S012	Moist_Na	Micrococcus	1342
LKMB002-1-92_S91	S012	Moist_Na	Staphylococcus	25462
