sample	MAG quality	CheckM2 - completeness	CheckM2 - contamination	N50 (abyss-fac)	Genome Size	Distinct tRNAs	Distinct rRNAs (max 3)	Potentially Novel Species	Potentially Novel and Not Matching SMGC or EPIC isolate	Matches EPIC isolate at >95.0% ANI and >20% Proportion Fragments Aligned	Matches SMGC at >95.0% ANI and >20% Proportion Fragments Aligned	GTDB R202	closest SMGC hit	closest SMGC hit - ANI	closest SMGC hit - Proportion Fragments Aligned	closest EPIC isolate hit	closest EPIC isolate hit - ANI	closest EPIC isolate hit - Proportion Fragments Aligned
LKMB002-1-05_S9_bin.1	medium	93.95	0.57	11895	5789418	21	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium sp009923995	SMGC_518	78.9047	0.10949367088607595	NA	0.0	0.0
LKMB002-1-07_S11_bin.1	medium	98.71	1.01	21298	2232098	17	2	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_102	97.2491	0.8063063063063063	LK1348	91.3372	0.8303303303303303
LKMB002-1-07_S11_bin.2	medium	91.24	2.62	10816	1621643	10	1	True	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	SMGC_359	96.6975	0.8066825775656324	NA	0.0	0.0
LKMB002-1-07_S11_bin.5	medium	91.78	1.75	14397	2561903	21	1	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propioniferax;s__	SMGC_422	96.5363	0.25761772853185594	NA	0.0	0.0
LKMB002-1-07_S11_bin.9	medium	100.0	0.06	91547	2375852	24	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp900539985	SMGC_92	96.6133	0.9245773732119635	LK1289	89.8418	0.8699609882964889
LKMB002-1-09_S13_bin.5	medium	100.0	0.12	144404	5027035	21	1	False	False	True	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes	SMGC_120	86.0255	0.6666666666666666	LK501	99.9866	0.9811435523114356
LKMB002-1-11_S15_bin.4	medium	98.29	0.0	23549	1826492	7	0	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus urinaeequi	SMGC_611	96.0317	0.40608228980322003	NA	0.0	0.0
LKMB002-1-15_S19_bin.4	medium	99.89	0.33	45165	1866203	20	1	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus urinomassiliensis	SMGC_363	96.6143	0.5755517826825127	NA	0.0	0.0
LKMB002-1-15_S19_bin.7	medium	98.9	0.07	93515	2444010	23	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium simulans	SMGC_88	97.091	0.9320512820512821	LK1134	79.6625	0.382051282051282
LKMB002-1-18_S22_bin.1	low	88.9	2.14	7895	2121160	20	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_213	98.05	0.9553072625698324	LK948	93.6248	0.9497206703910615
LKMB002-1-19_S23_bin.5	low	86.33	0.07	5324	1418081	20	1	True	True	False	False	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__CAIPFW01;g__CAIPFW01;s__	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-23_S27_bin.3	medium	86.79	3.19	22869	1961178	11	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_197	84.5327	0.8050847457627118	LK1348	84.544	0.8406779661016949
LKMB002-1-23_S27_bin.4	medium	99.99	0.19	175215	2612900	22	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum	SMGC_226	96.0611	0.8701298701298701	LK953	96.0393	0.8323494687131051
LKMB002-1-23_S27_bin.7	medium	96.34	0.25	68381	1961295	20	2	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_271	81.3783	0.6212361331220285	LK930	80.7946	0.5879556259904913
LKMB002-1-23_S27_bin.8	medium	99.62	0.08	49682	2170155	20	0	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium bouchesdurhonense	SMGC_76	82.0562	0.6832116788321168	LK930	81.4882	0.6116788321167883
LKMB002-1-25_S29_bin.2	medium	99.72	0.14	130342	2166967	23	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_26	97.998	0.9226441631504922	LK1348	78.114	0.20956399437412096
LKMB002-1-25_S29_bin.4	medium	99.86	3.89	223783	2712436	13	0	False	False	True	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	SMGC_354	99.0729	0.943502824858757	LK729	98.7225	0.919774011299435
LKMB002-1-25_S29_bin.9	low	95.33	0.16	8613	2303266	23	2	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Kytococcus;s__Kytococcus schroeteri	SMGC_590	84.0078	0.458477508650519	LK679	78.4967	0.3494809688581315
