group	sample	bgc	gcf	dist
SMGC	SMGC_355	SMGC_355.c00010_NODE_10...region001.gbk	244878	1257
SMGC	SMGC_355	SMGC_355.c00002_NODE_2_...region001.gbk	244878	1161
SMGC	SMGC_355	SMGC_355.c00002_NODE_2_...region002.gbk	244878	1183
SMGC	SMGC_355	SMGC_355.c00007_NODE_7_...region001.gbk	244878	983
SMGC	SMGC_355	SMGC_355.c00001_NODE_1_...region001.gbk	244878	1320
SMGC	SMGC_355	SMGC_355.c00019_NODE_19...region001.gbk	244878	959
SMGC	SMGC_355	SMGC_355.c00008_NODE_8_...region001.gbk	246695	1403
SMGC	SMGC_355	SMGC_355.c00006_NODE_6_...region001.gbk	245666	1012
SMGC	SMGC_355	SMGC_355.c00001_NODE_1_...region002.gbk	245560	1723
EPIC	LK542	LK542_16.region001.gbk	247890	974
EPIC	LK542	LK542_49.region001.gbk	245560	1195
EPIC	LK542	LK542_48.region001.gbk	246695	880
EPIC	LK542	LK542_3.region001.gbk	244878	981
SMGC	SMGC_92	SMGC_92.c00004_NODE_4_...region001.gbk	246216	984
SMGC	SMGC_92	SMGC_92.c00004_NODE_4_...region002.gbk	245560	1265
SMGC	SMGC_92	SMGC_92.c00007_NODE_7_...region001.gbk	245027	897
SMGC	SMGC_469	SMGC_469.c00275_NODE_58...region001.gbk	246216	891
SMGC	SMGC_469	SMGC_469.c00008_NODE_30...region001.gbk	247890	1104
SMGC	SMGC_469	SMGC_469.c00012_NODE_44...region001.gbk	244878	827
SMGC	SMGC_469	SMGC_469.c00006_NODE_25...region001.gbk	246695	961
SMGC	SMGC_581	SMGC_581.c00173_NODE_51...region001.gbk	246473	1209
SMGC	SMGC_581	SMGC_581.c00071_NODE_12...region001.gbk	244878	758
SMGC	SMGC_581	SMGC_581.c00016_NODE_25...region001.gbk	245086	1412
EPIC	LK1172	LK1172_4.region002.gbk	244878	817
EPIC	LK1172	LK1172_4.region001.gbk	244878	918
EPIC	LK1172	LK1172_4.region003.gbk	244878	1288
EPIC	LK1172	LK1172_5.region001.gbk	244878	1111
EPIC	LK1172	LK1172_1.region001.gbk	244878	1295
EPIC	LK1172	LK1172_2.region001.gbk	246706	1349
EPIC	LK1172	LK1172_2.region002.gbk	246219	1279
SMGC	SMGC_507	SMGC_507.c00004_NODE_64...region001.gbk	244878	1104
SMGC	SMGC_507	SMGC_507.c00003_NODE_35...region001.gbk	245560	1405
SMGC	SMGC_507	SMGC_507.c00017_NODE_56...region001.gbk	246219	1133
SMGC	SMGC_507	SMGC_507.c00011_NODE_26...region001.gbk	245656	1020
SMGC	SMGC_577	SMGC_577.c00065_NODE_61...region001.gbk	246515	625
SMGC	SMGC_74	SMGC_74.c00108_NODE_10...region001.gbk	244878	698
SMGC	SMGC_74	SMGC_74.c00062_NODE_62...region001.gbk	244878	1213
SMGC	SMGC_74	SMGC_74.c00001_NODE_1_...region001.gbk	244878	970
SMGC	SMGC_74	SMGC_74.c00028_NODE_28...region001.gbk	246216	1264
SMGC	SMGC_74	SMGC_74.c00005_NODE_5_...region001.gbk	245560	994
SMGC	SMGC_74	SMGC_74.c00004_NODE_4_...region001.gbk	245936	1716
EPIC	LK522	LK522_25.region001.gbk	244878	1315
EPIC	LK950	LK950_5.region001.gbk	244878	1012
EPIC	LK950	LK950_12.region001.gbk	246216	1160
EPIC	LK950	LK950_1.region001.gbk	245560	1265
EPIC	LK950	LK950_15.region001.gbk	245027	1015
SMGC	SMGC_576	SMGC_576.c00278_NODE_38...region001.gbk	245086	734
SMGC	SMGC_576	SMGC_576.c00205_NODE_29...region001.gbk	244893	618
SMGC	SMGC_146	SMGC_146.c00167_NODE_16...region001.gbk	246515	467
SMGC	SMGC_146	SMGC_146.c00062_NODE_51...region001.gbk	244878	547
SMGC	SMGC_613	SMGC_613.c00171_NODE_41...region001.gbk	244878	411
SMGC	SMGC_613	SMGC_613.c00055_NODE_18...region001.gbk	244878	1164
SMGC	SMGC_407	SMGC_407.c00839_NODE_86...region001.gbk	244878	1108
SMGC	SMGC_407	SMGC_407.c00754_NODE_76...region001.gbk	244878	410
SMGC	SMGC_407	SMGC_407.c00526_NODE_53...region001.gbk	244893	618
SMGC	SMGC_407	SMGC_407.c00496_NODE_50...region001.gbk	245676	1149
SMGC	SMGC_407	SMGC_407.c00159_NODE_23...region001.gbk	244878	495
SMGC	SMGC_407	SMGC_407.c00042_NODE_13...region001.gbk	245979	795
EPIC	LK894	LK894_2.region001.gbk	244878	1239
EPIC	LK894	LK894_6.region001.gbk	244878	1146
EPIC	LK894	LK894_1.region002.gbk	244994	1238
EPIC	LK894	LK894_4.region001.gbk	245203	847
EPIC	LK894	LK894_1.region001.gbk	246219	1190
SMGC	SMGC_397	SMGC_397.c00306_NODE_12...region001.gbk	246216	891
SMGC	SMGC_397	SMGC_397.c00117_NODE_48...region001.gbk	245671	1057
SMGC	SMGC_553	SMGC_553.c00874_NODE_92...region001.gbk	244878	586
SMGC	SMGC_553	SMGC_553.c00777_NODE_78...region001.gbk	244878	750
SMGC	SMGC_553	SMGC_553.c00577_NODE_53...region001.gbk	244878	712
SMGC	SMGC_553	SMGC_553.c00373_NODE_35...region001.gbk	244878	518
EPIC	LK1277	LK1277_106.region001.gbk	244878	713
EPIC	LK1277	LK1277_76.region001.gbk	244878	1038
EPIC	LK1277	LK1277_91.region001.gbk	245560	785
EPIC	LK1277	LK1277_80.region001.gbk	244878	977
EPIC	LK1277	LK1277_3.region001.gbk	244878	629
EPIC	LK1277	LK1277_78.region001.gbk	244878	835
EPIC	LK1277	LK1277_45.region001.gbk	246216	1630
EPIC	LK1277	LK1277_56.region001.gbk	245656	840
SMGC	SMGC_45	SMGC_45.c00101_NODE_12...region001.gbk	244878	776
SMGC	SMGC_45	SMGC_45.c00001_NODE_20...region001.gbk	246515	971
SMGC	SMGC_617	SMGC_617.c00001_NODE_1_...region001.gbk	244878	727
SMGC	SMGC_617	SMGC_617.c00001_NODE_1_...region002.gbk	244878	970
SMGC	SMGC_617	SMGC_617.c00003_NODE_16...region001.gbk	245560	1466
SMGC	SMGC_617	SMGC_617.c00006_NODE_15...region001.gbk	245024	1170
SMGC	SMGC_41	SMGC_41.c00025_NODE_11...region001.gbk	244878	680
SMGC	SMGC_41	SMGC_41.c00002_NODE_10...region001.gbk	244878	1303
SMGC	SMGC_41	SMGC_41.c00009_NODE_24...region001.gbk	244878	1168
SMGC	SMGC_41	SMGC_41.c00001_NODE_6_...region001.gbk	244878	974
SMGC	SMGC_41	SMGC_41.c00004_NODE_15...region001.gbk	246809	786
SMGC	SMGC_41	SMGC_41.c00022_NODE_73...region001.gbk	245557	607
SMGC	SMGC_41	SMGC_41.c00003_NODE_13...region002.gbk	245560	1571
SMGC	SMGC_41	SMGC_41.c00003_NODE_13...region001.gbk	246219	921
SMGC	SMGC_41	SMGC_41.c00002_NODE_10...region002.gbk	245555	1015
SMGC	SMGC_41	SMGC_41.c00005_NODE_17...region001.gbk	245720	1091
SMGC	SMGC_41	SMGC_41.c00012_NODE_35...region001.gbk	245558	441
SMGC	SMGC_41	SMGC_41.c00005_NODE_17...region002.gbk	245874	1208
SMGC	SMGC_87	SMGC_87.c00001_NODE_1_...region001.gbk	246216	864
SMGC	SMGC_87	SMGC_87.c00004_NODE_4_...region001.gbk	244878	412
SMGC	SMGC_87	SMGC_87.c00001_NODE_1_...region002.gbk	245027	1149
SMGC	SMGC_87	SMGC_87.c00001_NODE_1_...region003.gbk	245560	932
SMGC	SMGC_285	SMGC_285.c00004_NODE_17...region001.gbk	246515	760
SMGC	SMGC_528	SMGC_528.c00167_NODE_66...region001.gbk	244878	922
SMGC	SMGC_528	SMGC_528.c00121_NODE_28...region001.gbk	245560	1007
SMGC	SMGC_528	SMGC_528.c00045_NODE_97...region001.gbk	244878	508
SMGC	SMGC_528	SMGC_528.c00026_NODE_69...region001.gbk	244878	1086
SMGC	SMGC_528	SMGC_528.c00004_NODE_17...region002.gbk	244878	736
SMGC	SMGC_528	SMGC_528.c00013_NODE_32...region001.gbk	244878	1133
SMGC	SMGC_528	SMGC_528.c00010_NODE_30...region001.gbk	246216	1319
SMGC	SMGC_528	SMGC_528.c00004_NODE_17...region001.gbk	245026	1014
SMGC	SMGC_528	SMGC_528.c00003_NODE_16...region001.gbk	246695	1682
SMGC	SMGC_484	SMGC_484.c00002_NODE_68...region001.gbk	247672	1214
SMGC	SMGC_621	SMGC_621.c00043_NODE_14...region001.gbk	244878	1142
SMGC	SMGC_89	SMGC_89.c00010_NODE_10...region001.gbk	246216	1236
SMGC	SMGC_89	SMGC_89.c00001_NODE_1_...region001.gbk	245560	1075
SMGC	SMGC_89	SMGC_89.c00011_NODE_11...region001.gbk	245656	913
SMGC	SMGC_89	SMGC_89.c00003_NODE_3_...region001.gbk	245560	1263
SMGC	SMGC_89	SMGC_89.c00018_NODE_18...region001.gbk	245560	929
SMGC	SMGC_365	SMGC_365.c00014_NODE_55...region001.gbk	244878	1276
SMGC	SMGC_365	SMGC_365.c00008_NODE_38...region001.gbk	245170	882
SMGC	SMGC_173	SMGC_173.c00002_NODE_24...region001.gbk	244878	844
SMGC	SMGC_287	SMGC_287.c00196_NODE_12...region001.gbk	246216	902
SMGC	SMGC_287	SMGC_287.c00119_NODE_84...region001.gbk	246695	900
SMGC	SMGC_178	SMGC_178.c00669_NODE_30...region001.gbk	245560	491
SMGC	SMGC_178	SMGC_178.c00266_NODE_18...region001.gbk	244878	640
SMGC	SMGC_178	SMGC_178.c00039_NODE_99...region001.gbk	244878	733
SMGC	SMGC_326	SMGC_326.c00034_NODE_90...region001.gbk	246216	1072
SMGC	SMGC_326	SMGC_326.c00007_NODE_16...region001.gbk	244878	1289
SMGC	SMGC_149	SMGC_149.c00064_NODE_11...region001.gbk	244878	426
SMGC	SMGC_149	SMGC_149.c00072_NODE_12...region001.gbk	244878	1016
SMGC	SMGC_149	SMGC_149.c00067_NODE_11...region001.gbk	247672	928
SMGC	SMGC_149	SMGC_149.c00001_NODE_90...region001.gbk	244878	782
