sample	bgc	bgc_class	rpkm_norm	coverage	sample_subject	sample_bodysite
LKMN002-3-90_S289	"gb|LK1289_14.region001|GC_DNA--Entryname=T1PKS--OS=length=68367--SMASHregion=region001--NR=22--BG=11"	T1PKS	6055.67250271	0.867707526369	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_436.c00076_NODE_14...region001|GC_DNA--Entryname=RRE-containing--OS=1441_length_6226_cov_3_202236--SMASHregion=region001--NR=1"	RRE-containing	920.315930137	0.630420815933	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK441_6.region001|GC_DNA--Entryname=betalactone--OS=length=52972--SMASHregion=region001--NR=58"	betalactone	504.582916016	0.999693408278	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_263.c00006_NODE_8_...region001|GC_DNA--Entryname=terpene--OS=8_length_192266_cov_41_483828--SMASHregion=region001--NR=2--BG=2"	terpene	257.353923723	0.979823093474	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_278.c00258_NODE_48...region001|GC_DNA--Entryname=RiPP-like--OS=489_length_3853_cov_3_462085--SMASHregion=region001--NR=2"	RiPP-like	28.9557484806	0.639761225019	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK960_53.region001|GC_DNA--Entryname=arylpolyene--OS=length=18083--SMASHregion=region001--NR=1"	arylpolyene	120.134335345	0.801194492064	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_269.c00019_NODE_57...region001|GC_DNA--Entryname=terpene--OS=57_length_36422_cov_9_054170--SMASHregion=region001--NR=1"	terpene	36.4648790508	0.53915048804	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_264.c00014_NODE_27...region001|GC_DNA--Entryname=NAPAA--OS=27_length_65243_cov_99_543382--SMASHregion=region001--NR=2--BG=2"	NAPAA	234.328280687	0.932824111082	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1246_21.region001|GC_DNA--Entryname=siderophore--OS=length=27189--SMASHregion=region001--NR=4"	siderophore	204.25482522	0.973429748592	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1147_1.region001|GC_DNA--Entryname=terpene--OS=length=100600--SMASHregion=region001--NR=62--BG=3"	terpene	680.939936673	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_332.c01839_NODE_21...region001|GC_DNA--Entryname=siderophore--OS=2118_length_1035_cov_1_927551--SMASHregion=region001--NR=1"	siderophore	168.809031234	0.982608695652	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_271.c00005_NODE_7_...region001|GC_DNA--Entryname=NAPAA--OS=7_length_80448_cov_18_672434--SMASHregion=region001--NR=4"	NAPAA	1381.67590858	0.928658085516	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK553_16.region001|GC_DNA--Entryname=RRE-containing--OS=length=37995--SMASHregion=region001--NR=1"	RRE-containing	172.86324957	0.783585619678	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1279_49.region001|GC_DNA--Entryname=RiPP-like--OS=length=13430--SMASHregion=region001--NR=2"	RiPP-like	442.402361875	0.991674733785	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_263.c00002_NODE_3_...region001|GC_DNA--Entryname=RiPP-like--OS=3_length_322930_cov_43_142182--SMASHregion=region001--NR=1"	RiPP-like	76.0092496451	0.869699903195	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK430_33.region001|GC_DNA--Entryname=NAPAA--OS=length=26564--SMASHregion=region001--NR=64--BG=4"	NAPAA	530.456983639	0.972293329318	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK941_25.region001|GC_DNA--Entryname=RRE-containing--OS=length=34065--SMASHregion=region001--NR=1"	RRE-containing	398.684882959	0.993230769231	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_436.c00053_NODE_11...region001|GC_DNA--Entryname=ranthipeptide--OS=1153_length_7800_cov_4_012653--SMASHregion=region001--NR=2"	ranthipeptide	1181.78446702	0.805256410256	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_86.c00019_NODE_19...region001|GC_DNA--Entryname=NRPS--OS=19_length_32311_cov_19_310376_pilon--SMASHregion=region001--NR=5"	NRPS	134.141723583	0.501686732073	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1279_26.region001|GC_DNA--Entryname=NAPAA--OS=length=31116--SMASHregion=region001--NR=2"	NAPAA	443.769535772	0.997303976634	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK952_6.region001|GC_DNA--Entryname=RiPP-like--OS=length=186537--SMASHregion=region001--NR=1"	RiPP-like	329.518282207	0.520466699076	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_88.c00020_NODE_20...region001|GC_DNA--Entryname=terpene--OS=20_length_24794_cov_20_090544_pilon--SMASHregion=region001--NR=2--BG=2"	terpene	2609.97308356	0.988986566574	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1382_15.region001|GC_DNA--Entryname=siderophore--OS=length=40529--SMASHregion=region001--NR=56"	siderophore	566.806787067	0.992734031767	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1134_11.region001|GC_DNA--Entryname=siderophore--OS=length=74643--SMASHregion=region001--NR=3"	siderophore	562.511366788	0.999919801107	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1091_30.region001|GC_DNA--Entryname=linaridin--OS=length=25868--SMASHregion=region001--NR=1"	linaridin	337.407595556	0.663620647073	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_35.c00082_NODE_26...region001|GC_DNA--Entryname=NAPAA--OS=267_length_10300_cov_6_588287--SMASHregion=region001--NR=7--BG=2"	NAPAA	328.629657858	0.938737864078	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_35.c00050_NODE_14...region001|GC_DNA--Entryname=terpene--OS=145_length_19514_cov_6_779074--SMASHregion=region001--NR=4--BG=3"	terpene	421.650897105	0.662757379889	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_213.c00040_NODE_11...region001|GC_DNA--Entryname=NRPS-like:NRPS--OS=118_length_18796_cov_13_068940--SMASHregion=region001--NR=3"	NRPS-like:NRPS	109.193582359	0.938923175144	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1091_5.region001|GC_DNA--Entryname=siderophore--OS=length=62267--SMASHregion=region001--NR=1"	siderophore	295.906832651	0.84	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK719_26.region001|GC_DNA--Entryname=ectoine--OS=length=32085--SMASHregion=region001--NR=61"	ectoine	705.667502239	0.999614346317	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_275.c00002_NODE_14...region001|GC_DNA--Entryname=RiPP-like--OS=14_length_124670_cov_11_416435--SMASHregion=region001--NR=1"	RiPP-like	332.513497876	0.809040320219	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_269.c00023_NODE_80...region001|GC_DNA--Entryname=T3PKS--OS=80_length_26747_cov_7_863367--SMASHregion=region001--NR=1"	T3PKS	49.1884202213	0.759599207388	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1134_5.region001|GC_DNA--Entryname=terpene--OS=length=198942--SMASHregion=region001--NR=2"	terpene	426.893149389	0.999810381607	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK557_1.region001|GC_DNA--Entryname=T3PKS--OS=length=317332--SMASHregion=region001--NR=9--BG=2"	T3PKS	447.773664273	0.992547369579	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_264.c00001_NODE_2_...region001|GC_DNA--Entryname=LAP--OS=2_length_325241_cov_92_295028--SMASHregion=region001--NR=1"	LAP	132.103635424	0.950849213858	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_305.c00011_NODE_24...region002|GC_DNA--Entryname=terpene--OS=24_length_73055_cov_17_542562--SMASHregion=region002--NR=9"	terpene	1083.67210847	0.981414063997	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1306_1.region001|GC_DNA--Entryname=RRE-containing--OS=length=105342--SMASHregion=region001--NR=55"	RRE-containing	380.050106711	0.998426203708	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1093_1.region001|GC_DNA--Entryname=terpene--OS=length=120367--SMASHregion=region001--NR=4"	terpene	182.092240496	0.936630602782	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_244.c00002_NODE_2_...region001|GC_DNA--Entryname=T3PKS--OS=2_length_773651_cov_54_561986_pilon--SMASHregion=region001--NR=3"	T3PKS	33.743440252	0.631020328856	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_263.c00020_NODE_10...region001|GC_DNA--Entryname=RiPP-like--OS=102_length_14380_cov_43_058080--SMASHregion=region001--NR=1"	RiPP-like	64.882323454	0.871967900784	S033	Moist_Um
LKMB002-2-053_S144	"gb|LK523_3.region001|GC_DNA--Entryname=NRPS--OS=length=263405--SMASHregion=region001--NR=7"	NRPS	4973.98445583	0.990395216691	S019	Moist_Na
LKMB002-2-053_S144	"gb|LK1137_29.region001|GC_DNA--Entryname=RiPP-like--OS=length=9633--SMASHregion=region001--NR=1"	RiPP-like	3670.14421097	0.846173633441	S019	Moist_Na
LKMB002-2-053_S144	"gb|LK1134_11.region001|GC_DNA--Entryname=siderophore--OS=length=74643--SMASHregion=region001--NR=3"	siderophore	2825.48859712	0.99975940332	S019	Moist_Na
LKMB002-2-053_S144	"gb|SMGC_213.c00040_NODE_11...region001|GC_DNA--Entryname=NRPS-like:NRPS--OS=118_length_18796_cov_13_068940--SMASHregion=region001--NR=3"	NRPS-like:NRPS	456.00809181	0.867099382847	S019	Moist_Na
LKMB002-2-053_S144	"gb|LK1134_5.region001|GC_DNA--Entryname=terpene--OS=length=198942--SMASHregion=region001--NR=2"	terpene	2546.71341275	0.9972979379	S019	Moist_Na
