n	n:500	L50	min	N75	N50	N25	E-size	max	sum	name
1516	1516	468	1001	1509	2201	3256	2619	9518	3089474	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-01_S5_bin.1.fasta
20	20	4	1966	54612	135727	199267	148744	314828	1398575	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-01_S5_bin.2.fasta
74	74	5	1072	57153	112490	774741	286735	774741	2727204	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-01_S5_bin.3.fasta
234	234	45	1022	8734	17344	27577	19899	59205	2431334	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-01_S5_bin.4.fasta
471	471	112	1023	4088	6513	10480	7856	27546	2327653	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-02_S6_bin.1.fasta
34	34	5	2790	57048	135661	310503	190050	427746	2435292	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-03_S7_bin.1.fasta
686	686	167	1009	2387	3974	6449	5054	23379	2190202	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-03_S7_bin.2.fasta
1317	1317	343	1002	2225	3652	5550	4325	16546	3854223	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-04_S8_bin.1.fasta
7	7	2	9024	334626	701332	884244	618522	884244	2445389	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-04_S8_bin.2.fasta
506	506	136	1507	3014	4759	7353	5934	31063	2019119	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-04_S8_bin.3.fasta
678	678	144	1506	7176	11895	20066	15262	56425	5789418	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-05_S9_bin.1.fasta
432	432	91	1536	8832	15692	24951	19086	67452	4548745	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-05_S9_bin.2.fasta
470	470	120	1503	3136	5024	8696	6657	22900	2014464	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-05_S9_bin.3.fasta
788	788	195	1502	4129	6906	10925	8528	47401	4229673	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-06_S10_bin.1.fasta
316	316	59	1010	6552	12629	22896	15876	50901	2489178	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-06_S10_bin.2.fasta
159	159	29	1503	12745	21298	42019	30036	105585	2232098	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.1.fasta
