#BGC Name	Clan Number	Family Number
BGC0000172	2936	160
SMGC_72.c00020_NODE_20...region001	2936	160
BGC0000287	2936	268
SMGC_118.c00033_NODE_11...region001	2936	268
BGC0000295	2936	276
SMGC_134.c00004_NODE_12...region001	2936	276
SMGC_53.c00057_NODE_92...region001	2936	276
BGC0000381	2936	355
SMGC_457.c00006_NODE_8_...region001	2936	355
BGC0000508	2936	479
BGC0000514	2936	479
SMGC_241.c00002_gnlNIS...region001	2936	479
SMGC_31.c00022_NODE_46...region001	2936	479
BGC0000539	2936	503
SMGC_236.c00018_NODE_18...region001	2936	503
SMGC_245.c00016_NODE_16...region001	2936	503
BGC0000630	2936	598
BGC0000635	2936	598
SMGC_37.c00037_NODE_12...region001	2936	598
BGC0000637	2936	600
SMGC_610.c00059_NODE_14...region001	2936	600
BGC0000936	2936	880
SMGC_118.c00045_NODE_29...region001	2936	880
BGC0000940	2936	885
BGC0000941	2936	885
BGC0001453	2936	885
BGC0002305	2936	885
BGC0000943	2936	887
LK524_18.region001	2936	887
LK729_10.region001	2936	887
SMGC_235.c00001_NODE_1_...region002	2936	887
SMGC_354.c00001_NODE_1_...region002	2936	887
SMGC_600.c00168_NODE_15...region001	2936	887
BGC0001327	2936	1231
BGC0001328	2936	1231
LK945_11.region001	2936	1231
BGC0001408	2936	1301
SMGC_506.c00002_NODE_18...region001	2936	1301
BGC0001478	2936	1369
LK945_225.region001	2936	1369
BGC0001532	2936	1420
SMGC_72.c00002_NODE_2_...region001	2936	1420
BGC0001575	2936	1460
SMGC_504.c00021_NODE_83...region001	2936	1460
BGC0001618	2936	1500
SMGC_354.c00002_NODE_2_...region001	2936	1500
BGC0000446	2936	1519
BGC0001637	2936	1519
SMGC_267.c00107_NODE_32...region001	2936	1519
BGC0002037	2936	1864
SMGC_118.c00012_NODE_20...region001	2936	1864
BGC0002471	2936	2255
SMGC_21.c00075_NODE_56...region001	2936	2255
SMGC_54.c00088_NODE_11...region001	2936	2255
BGC0002685	2936	2447
SMGC_366.c00020_NODE_81...region001	2936	2447
SMGC_490.c00031_NODE_40...region001	2936	2447
SMGC_539.c00025_NODE_30...region001	2936	2447
BGC0000309	2936	2457
BGC0000401	2936	2457
BGC0001185	2936	2457
BGC0002695	2936	2457
LK464_16.region001	2936	2457
SMGC_457.c00001_NODE_2_...region001	2936	2457
SMGC_67.ctg7180000001355.region001	2936	2457
LK1015_2.region002	2936	2527
LK489_4.region001	2936	2527
SMGC_237.c00005_NODE_5_...region001	2936	2527
SMGC_242.c00006_NODE_6_...region001	2936	2527
SMGC_612.c00108_NODE_24...region001	2936	2527
SMGC_618.c00002_NODE_14...region001	2936	2527
LK1015_2.region003	2936	2528
LK1015_9.region001	2936	2530
LK1021_6.region001	2936	2547
LK1250_8.region001	2936	2547
LK478_1.region001	2936	2547
LK572_5.region001	2936	2547
LK698_3.region001	2936	2547
LK934_12.region001	2936	2547
SMGC_3.c00054_NODE_17...region001	2936	2547
SMGC_63.c00014_NODE_32...region001	2936	2547
SMGC_96.c00020_NODE_20...region001	2936	2547
LK1021_9.region001	2936	2548
LK1055_14.region001	2936	2548
LK934_18.region001	2936	2548
SMGC_3.c00006_NODE_14...region001	2936	2548
SMGC_97.c00034_NODE_34...region001	2936	2548
LK1024_35.region001	2936	2556
LK1045_8.region001	2936	2556
LK1085_13.region001	2936	2556
LK1302_18.region001	2936	2556
LK1350_39.region001	2936	2556
LK1352_12.region001	2936	2556
LK1404_9.region001	2936	2556
LK630_30.region001	2936	2556
SMGC_326.c00034_NODE_90...region001	2936	2556
LK1002_56.region001	2936	2558
LK1008_15.region001	2936	2558
LK1009_27.region001	2936	2558
LK1012_72.region001	2936	2558
LK1018_20.region001	2936	2558
LK1019_76.region001	2936	2558
LK1022_13.region001	2936	2558
LK1026_22.region001	2936	2558
LK1036_80.region001	2936	2558
LK1049_15.region001	2936	2558
LK1053_22.region001	2936	2558
LK1056_11.region001	2936	2558
LK1072_20.region001	2936	2558
LK1073_26.region001	2936	2558
LK1090_43.region001	2936	2558
LK1091_24.region001	2936	2558
LK1099_93.region001	2936	2558
LK1106_9.region001	2936	2558
LK1113_20.region001	2936	2558
LK1117_8.region001	2936	2558
LK1145_17.region001	2936	2558
LK1147_53.region001	2936	2558
LK1173_38.region001	2936	2558
LK1207_13.region001	2936	2558
LK1208_40.region001	2936	2558
LK1224_57.region001	2936	2558
LK1231_12.region001	2936	2558
LK1274_17.region001	2936	2558
LK1275_4.region001	2936	2558
LK1306_16.region001	2936	2558
LK1330_75.region001	2936	2558
LK1334_17.region001	2936	2558
LK1335_11.region001	2936	2558
LK1379_47.region001	2936	2558
LK1380_30.region001	2936	2558
LK1382_7.region001	2936	2558
LK1383_22.region001	2936	2558
LK1384_48.region001	2936	2558
LK1390_8.region001	2936	2558
LK1393_22.region001	2936	2558
LK402_26.region001	2936	2558
LK408_21.region001	2936	2558
LK409_21.region001	2936	2558
LK419_13.region001	2936	2558
LK426_32.region001	2936	2558
LK430_14.region001	2936	2558
LK441_7.region001	2936	2558
LK443_51.region001	2936	2558
LK455_7.region001	2936	2558
LK467_8.region001	2936	2558
LK508_29.region001	2936	2558
LK542_16.region001	2936	2558
LK553_55.region001	2936	2558
LK569_71.region001	2936	2558
LK661_46.region001	2936	2558
LK697_6.region001	2936	2558
LK705_24.region001	2936	2558
LK719_26.region001	2936	2558
LK792_51.region001	2936	2558
LK941_27.region001	2936	2558
SMGC_159.c00055_NODE_36...region001	2936	2558
SMGC_221.c00031_NODE_73...region001	2936	2558
LK1027_100.region001	2936	2564
LK1027_119.region001	2936	2565
LK1027_19.region001	2936	2566
LK904_6.region001	2936	2566
SMGC_329.c00006_NODE_20...region001	2936	2566
LK1034_1.region001	2936	2581
LK1034_4.region001	2936	2582
LK1054_10.region001	2936	2616
SMGC_60.c00007_NODE_80...region001	2936	2616
LK1054_103.region001	2936	2618
LK1054_109.region001	2936	2619
LK1054_11.region001	2936	2620
LK1054_137.region001	2936	2622
SMGC_189.c00182_NODE_34...region001	2936	2622
SMGC_195.c00043_NODE_92...region001	2936	2622
SMGC_402.c00007_NODE_36...region002	2936	2622
SMGC_487.c00069_NODE_14...region001	2936	2622
SMGC_60.c00114_NODE_70...region001	2936	2622
LK1054_184.region001	2936	2624
LK1054_53.region001	2936	2628
LK1054_62.region001	2936	2630
LK1054_85.region001	2936	2633
LK1054_98.region001	2936	2634
LK1091_30.region001	2936	2672
LK1091_5.region001	2936	2675
LK1006_4.region001	2936	2678
LK1031_54.region001	2936	2678
LK1046_21.region001	2936	2678
LK1092_16.region001	2936	2678
LK1277_106.region001	2936	2678
LK1278_6.region001	2936	2678
LK439_84.region001	2936	2678
LK639_1.region001	2936	2678
LK949_24.region001	2936	2678
LK951_87.region001	2936	2678
LK984_36.region001	2936	2678
SMGC_315.c00063_NODE_24...region001	2936	2678
LK1006_15.region001	2936	2681
LK1046_48.region001	2936	2681
LK1092_48.region001	2936	2681
LK1277_76.region001	2936	2681
LK1278_12.region001	2936	2681
LK439_18.region001	2936	2681
LK639_2.region001	2936	2681
LK951_9.region001	2936	2681
LK975_6.region001	2936	2681
SMGC_186.c00030_NODE_11...region001	2936	2681
SMGC_315.c00060_NODE_23...region001	2936	2681
LK1093_14.region001	2936	2686
LK1237_12.region001	2936	2686
LK1246_21.region001	2936	2686
LK478_22.region001	2936	2686
LK698_26.region001	2936	2686
LK960_29.region001	2936	2686
SMGC_66.c00026_NODE_50...region001	2936	2686
SMGC_96.c00015_NODE_15...region001	2936	2686
LK1098_1.region001	2936	2687
SMGC_227.c00001_NODE_1_...region003	2936	2687
SMGC_230.c00001_NODE_1_...region001	2936	2687
SMGC_289.c00001_NODE_1_...region003	2936	2687
SMGC_41.c00001_NODE_6_...region001	2936	2687
LK1098_4.region001	2936	2688
LK1098_4.region002	2936	2689
LK1099_100.region001	2936	2690
LK1112_10.region002	2936	2704
SMGC_369.c00043_NODE_23...region001	2936	2704
LK1112_9.region001	2936	2705
SMGC_369.c00005_NODE_17...region001	2936	2705
LK1118_10.region001	2936	2722
LK1118_87.region001	2936	2725
LK1128_16.region001	2936	2726
LK1128_72.region001	2936	2728
SMGC_545.c00025_NODE_45...region001	2936	2728
LK1134_11.region001	2936	2729
SMGC_343.c00003_NODE_5_...region001	2936	2729
LK1134_5.region001	2936	2730
SMGC_343.c00004_NODE_10...region001	2936	2730
LK1136_11.region001	2936	2734
LK1137_29.region001	2936	2742
LK1172_1.region001	2936	2755
LK1172_2.region001	2936	2756
LK1172_2.region002	2936	2757
LK1172_4.region001	2936	2758
LK1172_4.region002	2936	2759
LK1172_4.region003	2936	2760
LK1172_5.region001	2936	2761
LK1176_13.region001	2936	2769
SMGC_257.c00009_NODE_48...region001	2936	2769
LK1176_18.region001	2936	2771
SMGC_257.c00022_NODE_11...region001	2936	2771
LK1176_4.region001	2936	2773
LK1188_1.region001	2936	2774
BGC0000972	2936	2776
BGC0001055	2936	2776
LK1198_3.region001	2936	2776
LK570_10.region001	2936	2776
SMGC_335.c00015_NODE_18...region001	2936	2776
LK1198_4.region002	2936	2778
SMGC_340.c00003_NODE_3_...region001	2936	2778
LK1204_1.region001	2936	2779
LK1012_54.region001	2936	2782
LK1207_52.region001	2936	2782
LK1274_59.region001	2936	2782
LK1383_6.region001	2936	2782
LK1384_7.region001	2936	2782
LK408_3.region001	2936	2782
LK697_26.region001	2936	2782
SMGC_159.c00065_NODE_51...region001	2936	2782
SMGC_327.c00120_NODE_12...region001	2936	2782
LK1237_15.region001	2936	2805
LK1030_4.region001	2936	2811
LK1041_4.region001	2936	2811
LK1239_7.region001	2936	2811
LK1270_7.region001	2936	2811
LK1362_5.region001	2936	2811
LK1366_4.region002	2936	2811
LK411_21.region001	2936	2811
LK687_14.region001	2936	2811
LK936_6.region001	2936	2811
LK950_1.region001	2936	2811
LK955_3.region001	2936	2811
LK956_19.region001	2936	2811
SMGC_32.c00010_NODE_74...region001	2936	2811
LK1246_2.region001	2936	2812
LK1250_49.region001	2936	2818
LK1250_89.region001	2936	2821
LK1255_4.region001	2936	2826
SMGC_20.c00006_NODE_19...region001	2936	2826
LK1279_26.region001	2936	2864
SMGC_40.c00001_NODE_7_...region002	2936	2864
LK1279_49.region001	2936	2865
SMGC_40.c00001_NODE_7_...region001	2936	2865
LK1027_38.region001	2936	2870
LK1301_117.region001	2936	2870
LK1363_99.region001	2936	2870
LK904_123.region001	2936	2870
LK1301_5.region001	2936	2873
LK1024_11.region001	2936	2876
LK1045_40.region001	2936	2876
LK1085_42.region001	2936	2876
LK1302_49.region001	2936	2876
LK1350_43.region001	2936	2876
LK1352_43.region001	2936	2876
LK1404_22.region001	2936	2876
LK630_50.region001	2936	2876
SMGC_326.c00007_NODE_16...region001	2936	2876
LK1311_14.region001	2936	2883
LK1311_72.region001	2936	2887
SMGC_223.c00001_NODE_1_...region001	2936	2887
SMGC_268.c00005_NODE_5_...region001	2936	2887
SMGC_564.c00125_NODE_12...region001	2936	2887
LK1337_11.region001	2936	2905
LK1337_17.region001	2936	2906
SMGC_439.c00003_NODE_28...region001	2936	2906
LK1337_37.region001	2936	2907
SMGC_439.c00012_NODE_38...region001	2936	2907
LK1030_9.region001	2936	2910
LK1041_3.region001	2936	2910
LK1059_30.region001	2936	2910
LK1239_22.region001	2936	2910
LK1270_14.region001	2936	2910
LK1346_6.region001	2936	2910
LK1362_4.region001	2936	2910
LK1366_10.region001	2936	2910
LK411_25.region001	2936	2910
LK519_26.region001	2936	2910
LK672_4.region001	2936	2910
LK687_28.region001	2936	2910
LK871_7.region001	2936	2910
LK936_28.region001	2936	2910
LK942_3.region001	2936	2910
LK950_5.region001	2936	2910
LK955_8.region001	2936	2910
LK956_12.region001	2936	2910
SMGC_256.c00042_NODE_34...region001	2936	2910
LK1002_17.region001	2936	2936
LK1008_1.region001	2936	2936
LK1012_25.region001	2936	2936
LK1022_16.region001	2936	2936
LK1113_18.region001	2936	2936
LK1117_40.region001	2936	2936
LK1335_7.region001	2936	2936
LK1379_10.region001	2936	2936
LK419_9.region001	2936	2936
LK553_4.region001	2936	2936
LK697_52.region001	2936	2936
LK1002_75.region001	2936	2938
LK1008_54.region001	2936	2938
LK1009_37.region001	2936	2938
LK1012_46.region001	2936	2938
LK1018_24.region001	2936	2938
LK1019_29.region001	2936	2938
LK1022_60.region001	2936	2938
LK1026_24.region001	2936	2938
LK1036_35.region001	2936	2938
LK1049_28.region001	2936	2938
LK1053_28.region001	2936	2938
LK1056_27.region001	2936	2938
LK1072_69.region001	2936	2938
LK1073_25.region001	2936	2938
LK1090_22.region001	2936	2938
LK1091_47.region001	2936	2938
LK1099_38.region001	2936	2938
LK1106_24.region001	2936	2938
LK1113_27.region001	2936	2938
LK1117_53.region001	2936	2938
LK1145_24.region001	2936	2938
LK1147_19.region001	2936	2938
LK1173_53.region001	2936	2938
LK1207_59.region001	2936	2938
LK1208_51.region001	2936	2938
LK1224_10.region001	2936	2938
LK1274_39.region001	2936	2938
LK1275_24.region001	2936	2938
LK1306_24.region001	2936	2938
LK1330_78.region001	2936	2938
LK1334_53.region001	2936	2938
LK1335_37.region001	2936	2938
LK1379_26.region001	2936	2938
LK1380_38.region001	2936	2938
LK1382_6.region001	2936	2938
LK1383_45.region001	2936	2938
LK1384_30.region001	2936	2938
LK1390_41.region001	2936	2938
LK1393_29.region001	2936	2938
LK402_32.region001	2936	2938
LK409_27.region001	2936	2938
LK419_2.region001	2936	2938
LK430_33.region001	2936	2938
LK441_40.region001	2936	2938
LK443_56.region001	2936	2938
LK455_29.region001	2936	2938
LK467_48.region001	2936	2938
LK508_34.region001	2936	2938
LK542_49.region001	2936	2938
LK553_41.region001	2936	2938
LK569_56.region001	2936	2938
LK697_33.region001	2936	2938
LK705_27.region001	2936	2938
LK719_3.region001	2936	2938
LK792_86.region001	2936	2938
SMGC_221.c00062_NODE_10...region001	2936	2938
SMGC_261.c00023_NODE_94...region001	2936	2938
LK1386_10.region001	2936	2966
LK1386_18.region001	2936	2967
LK1386_28.region001	2936	2968
LK1386_39.region001	2936	2969
LK1386_54.region001	2936	2970
SMGC_545.c00003_NODE_55...region001	2936	2970
LK1386_93.region001	2936	2971
LK1404_32.region001	2936	2984
LK630_28.region001	2936	2984
LK405_1.region001	2936	2992
LK405_2.region001	2936	2993
LK413_9.region001	2936	3013
LK421_3.region001	2936	3023
LK421_5.region001	2936	3024
LK421_8.region001	2936	3025
LK1173_22.region001	2936	3031
LK1334_12.region001	2936	3031
LK426_42.region001	2936	3031
LK705_20.region001	2936	3031
LK428_13.region001	2936	3033
LK417_2.region001	2936	3034
LK428_3.region001	2936	3034
SMGC_240.c00001_NODE_1_...region001	2936	3034
SMGC_243.c00004_NODE_4_...region001	2936	3034
SMGC_244.c00002_NODE_2_...region001	2936	3034
