"acc","assay_type","bioproject","biosample_link","cANI","collection_date_sam","containment","geo_loc_name_country_calc","lat_lon","organism"
"SRR14986175","WGA","PRJNA742226","https://www.ncbi.nlm.nih.gov/biosample/SAMN19945329","0.91","2017-06-14","0.13","Germany","[49.61,10.28]","soil metagenome"
"ERR599278","WGS","PRJEB4352","https://www.ncbi.nlm.nih.gov/biosample/SAMEA2621299","0.96","NP","0.42","NP","NP","marine metagenome"
"SRR6958475","WGS","PRJNA444974","https://www.ncbi.nlm.nih.gov/biosample/SAMN08776783","0.96","2012-05-01","0.42","USA","[33.5944,-109.1397]","soil metagenome"
"SRR5919194","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04874336","0.9","2013-10-26","0.12","Australia","[-39.8644,143.89126]","soil metagenome"
"SRR14757267","RNA-Seq","PRJNA735856","https://www.ncbi.nlm.nih.gov/biosample/SAMN19599130","0.9","2019-07-01","0.1","China","[25.48,103.34]","soil metagenome"
"SRR8552918","WGS","PRJNA518572","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864254","0.94","2017-05-09","0.28","USA","[38.9206,-106.9489]","soil metagenome"
"SRR11827249","WGS","PRJNA620415","https://www.ncbi.nlm.nih.gov/biosample/SAMN14511157","0.91","2015-10-01","0.14","USA","[42.7489,-70.8243]","salt marsh metagenome"
"SRR10968274","WGS","PRJNA566914","https://www.ncbi.nlm.nih.gov/biosample/SAMN12794336","0.91","2018-06-26","0.13","USA","[64.9142,-147.8349]","peat metagenome"
"SRR10002907","WGS","PRJNA561080","https://www.ncbi.nlm.nih.gov/biosample/SAMN12606663","0.94","2017-06-22","0.25","USA","[40.775594,-73.97641]","air metagenome"
"SRR13106739","WGS","PRJNA680161","https://www.ncbi.nlm.nih.gov/biosample/SAMN16870974","0.91","2017-08-01","0.14","Russia","[70.05,159.55]","permafrost metagenome"
"SRR12976792","OTHER","PRJNA674468","https://www.ncbi.nlm.nih.gov/biosample/SAMN16657631","0.92","2019-05-16","0.17","China","[25.58,99.57]","soil metagenome"
"SRR5720237","WGS","PRJNA385855","https://www.ncbi.nlm.nih.gov/biosample/SAMN07137083","0.91","2003-03-22","0.14","uncalculated","[31.66,-64.16]","marine metagenome"
"SRR7092012","WGS","PRJNA441983","https://www.ncbi.nlm.nih.gov/biosample/SAMN08778063","0.94","2016-09-16","0.25","USA","[38.9197,-106.9492]","freshwater sediment metagenome"
"SRR4027043","WGS","PRJNA337680","https://www.ncbi.nlm.nih.gov/biosample/SAMN05518036","0.92","2009-06-24","0.19","USA","[43.312222,-89.370833]","soil metagenome"
"SRR12687304","WGS","PRJNA664310","https://www.ncbi.nlm.nih.gov/biosample/SAMN16205503","0.91","2019-06-01","0.15","China","[44.38,83.33]","rhizosphere metagenome"
"SRR8936444","WGS","PRJNA528368","https://www.ncbi.nlm.nih.gov/biosample/SAMN11415806","0.92","2018-09-01","0.17","China","[23.14,113.34]","soil metagenome"
"SRR12805505","WGS","PRJNA666233","https://www.ncbi.nlm.nih.gov/biosample/SAMN16294742","0.91","2018-06-01","0.13","China","[29.58,111.62]","soil metagenome"
"SRR9952630","WGS","PRJNA556841","https://www.ncbi.nlm.nih.gov/biosample/SAMN12368158","0.93","2017-06-01","0.2","Canada","[81.80521,-71.52699]","freshwater sediment metagenome"
"SRR10763707","WGS","PRJNA597058","https://www.ncbi.nlm.nih.gov/biosample/SAMN13676213","0.9","2017-07-03","0.1","USA","[35.67,-78.498]","plant metagenome"
"ERR3858139","WGS","PRJEB36505","https://www.ncbi.nlm.nih.gov/biosample/SAMEA6512643","0.91","2019-01-09","0.14","NP","NP","groundwater metagenome"
"SRR8205311","OTHER","PRJNA505928","https://www.ncbi.nlm.nih.gov/biosample/SAMN10439588","0.93","NP","0.23","uncalculated","[""missing""]","soil metagenome"
"ERR3209809","WGS","PRJEB31632","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5410068","0.9","NP","0.1","NP","NP","metagenome"
"SRR14640485","WGS","PRJNA732600","https://www.ncbi.nlm.nih.gov/biosample/SAMN19328050","0.91","2020-01-10","0.14","India","[21.9497,89.1833]","sediment metagenome"
"SRR12805760","WGS","PRJNA592367","https://www.ncbi.nlm.nih.gov/biosample/SAMN16409518","0.93","2019-04-01","0.22","Namibia","[-23.19,15.37]","metagenome"
"ERR575709","OTHER","PRJEB6942","https://www.ncbi.nlm.nih.gov/biosample/SAMEA2690976","0.91","2013-05-14","0.13","Australia","NP","sediment metagenome"
"SRR11088434","WGS","PRJNA524094","https://www.ncbi.nlm.nih.gov/biosample/SAMN14069908","0.9","2017-11-22","0.12","Germany","[51.554117,9.916972]","wastewater metagenome"
"SRR10744100","WGS","PRJNA596937","https://www.ncbi.nlm.nih.gov/biosample/SAMN13634775","0.96","2018-09-25","0.42","USA","[41.88,-87.63]","indoor metagenome"
"SRR13213307","WCS","PRJNA506850","https://www.ncbi.nlm.nih.gov/biosample/SAMN17020135","0.91","2016-06-01","0.14","USA","[37.20023629,-80.56444913]","compost metagenome"
"SRR11828800","WGS","PRJNA620419","https://www.ncbi.nlm.nih.gov/biosample/SAMN14511031","0.91","2015-10-01","0.15","USA","[42.7489,-70.8243]","salt marsh metagenome"
"SRR13614389","WGS","PRJNA697905","https://www.ncbi.nlm.nih.gov/biosample/SAMN17677536","0.93","2019-08-01","0.21","China","[37.3,116.65]","soil metagenome"
"SRR10873839","WGS","PRJNA600049","https://www.ncbi.nlm.nih.gov/biosample/SAMN13781461","0.9","2017-06-10","0.11","China","[""missing""]","soil metagenome"
"SRR12042458","OTHER","PRJNA640224","https://www.ncbi.nlm.nih.gov/biosample/SAMN15311377","0.91","2018-12-20","0.13","uncalculated","[""missing""]","soil metagenome"
"SRR14092350","OTHER","PRJNA718193","https://www.ncbi.nlm.nih.gov/biosample/SAMN18524871","0.93","2018-03-01","0.2","uncalculated","[""missing""]","sludge metagenome"
"SRR8643112","WGA","PRJNA524533","https://www.ncbi.nlm.nih.gov/biosample/SAMN11028957","0.91","NP","0.12","uncalculated","[""not collected""]","sludge metagenome"
"ERR868427","WGS","PRJEB4352","https://www.ncbi.nlm.nih.gov/biosample/SAMEA2622983","0.91","NP","0.13","NP","NP","marine metagenome"
"SRR6435951","WGS","PRJNA406153","https://www.ncbi.nlm.nih.gov/biosample/SAMN07632062","0.9","2010-06-13","0.1","USA","[35.9076,-79.0506]","rhizosphere metagenome"
"SRR12893796","WGS","PRJNA671748","https://www.ncbi.nlm.nih.gov/biosample/SAMN16550297","0.91","2017-07-04","0.14","Hong Kong","[22.275601,114.168939]","metagenome"
"SRR7093797","WGS","PRJNA441477","https://www.ncbi.nlm.nih.gov/biosample/SAMN08777897","0.93","2017-05-24","0.23","USA","[42.481016,-72.178343]","soil metagenome"
"SRR13781414","WGS","PRJNA697710","https://www.ncbi.nlm.nih.gov/biosample/SAMN17674490","0.91","2018-08-14","0.13","USA","[47.5056,-93.4534]","peat metagenome"
"SRR3990173","WGS","PRJNA330332","https://www.ncbi.nlm.nih.gov/biosample/SAMN05421988","0.94","2013-03-27","0.29","USA","[39.534762,-107.782602]","soil metagenome"
"SRR17938975","WGS","PRJNA804379","https://www.ncbi.nlm.nih.gov/biosample/SAMN25740220","0.92","2021-10-23","0.19","Russia","[55.01,83.47]","soil metagenome"
"DRR101456","WGS","PRJDB6359","https://www.ncbi.nlm.nih.gov/biosample/SAMD00093653","0.92","NP","0.17","China","[32.479787,119.136439]","soil metagenome"
"SRR12473535","WGS","PRJNA657906","https://www.ncbi.nlm.nih.gov/biosample/SAMN15851662","0.91","2017-05-10","0.15","Israel","[31.34583333,34.91333333]","biocrust metagenome"
"SRR9852187","WGS","PRJNA556302","https://www.ncbi.nlm.nih.gov/biosample/SAMN12347484","0.9","2015-06-01","0.12","China","[32.03,118.7]","activated sludge metagenome"
"SRR8100013","WGS","PRJNA497915","https://www.ncbi.nlm.nih.gov/biosample/SAMN10273094","0.91","2015-11-30","0.13","USA","[21.5416,-158.0875]","soil metagenome"
"SRR10360608","WGS","PRJNA577476","https://www.ncbi.nlm.nih.gov/biosample/SAMN13153381","0.91","2016-06-15","0.15","USA","[39.5673,-123.4758]","soil metagenome"
"SRR13434398","WGS","PRJNA579838","https://www.ncbi.nlm.nih.gov/biosample/SAMN13134310","0.92","NP","0.17","USA","[38.923239,-106.950876]","freshwater metagenome"
"SRR7013846","WGS","PRJNA448190","https://www.ncbi.nlm.nih.gov/biosample/SAMN08867823","0.92","2013-07-01","0.18","Canada","[50.28,-107.8]","metagenome"
"SRR14689437","WGS","PRJNA781406","https://www.ncbi.nlm.nih.gov/biosample/SAMN19433718","0.92","2019-09-26","0.17","Russia","[43.17,42.28]","metagenome"
"SRR8556103","WGS","PRJNA518536","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864325","0.92","2016-11-25","0.18","Sweden","[68.3535,19.0473]","peat metagenome"
"SRR12030755","WGS","PRJNA638758","https://www.ncbi.nlm.nih.gov/biosample/SAMN15285679","0.92","2018-07-31","0.18","Taiwan","[24.026494,121.136434]","soil metagenome"
"ERR4878508","WGS","PRJEB41538","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7631516","0.91","NP","0.14","Germany","NP","metagenome"
"SRR5487761","WGS","PRJNA384362","https://www.ncbi.nlm.nih.gov/biosample/SAMN06835213","0.92","2014-09-27","0.18","Germany","[50.4422,7.10278]","soil metagenome"
"SRR15377948","WGS","PRJNA714922","https://www.ncbi.nlm.nih.gov/biosample/SAMN18647655","0.92","2018-08-01","0.16","USA","[44.2566,-86.083683]","soil metagenome"
"ERR4682832","WGS","PRJEB40816","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428474","0.9","2018-07-07","0.1","Kuwait","NP","wastewater metagenome"
"SRR5585586","WGS","PRJNA375669","https://www.ncbi.nlm.nih.gov/biosample/SAMN06343971","0.93","2014-08-14","0.24","USA","[35.8443,-83.9607]","rhizosphere metagenome"
"SRR8554099","WGS","PRJNA518379","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864430","0.91","2016-11-02","0.12","Sweden","[68.3535,19.0473]","peat metagenome"
"DRR182858","WGS","PRJDB8464","https://www.ncbi.nlm.nih.gov/biosample/SAMD00175474","0.91","2016-12-05","0.14","China","[29.87,121.65]","soil metagenome"
"ERR4392712","WGS","PRJEB39497","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7090483","0.91","NP","0.14","USA","NP","soil metagenome"
"SRR10613508","WGS","PRJNA486429","https://www.ncbi.nlm.nih.gov/biosample/SAMN13518554","0.93","NP","0.24","China","[40.0047,116.3261]","air metagenome"
"SRR5919246","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04874040","0.92","2013-03-23","0.16","Australia","[-31.32774,138.5673]","soil metagenome"
"SRR14373516","WGS","PRJNA689669","https://www.ncbi.nlm.nih.gov/biosample/SAMN18753785","0.91","2019-01-17","0.15","China","[23.4,102.25]","metagenome"
"SRR2179959","WGS","PRJNA176929","https://www.ncbi.nlm.nih.gov/biosample/SAMN04005876","0.95","2010-10-19","0.32","USA","[44.99,-73.11]","freshwater metagenome"
"ERR1346820","WGS","PRJEB12502","https://www.ncbi.nlm.nih.gov/biosample/SAMEA3914807","0.9","2011-08-03","0.12","Canada","NP","metagenome"
"SRR5438094","WGS","PRJNA365718","https://www.ncbi.nlm.nih.gov/biosample/SAMN06266485","0.92","2014-10-09","0.18","USA","[39.7392,-123.6308]","soil metagenome"
"SRR7091760","WGS","PRJNA441439","https://www.ncbi.nlm.nih.gov/biosample/SAMN08777225","0.93","2017-03-06","0.23","Brazil","[-19.28,-43.5919]","rock metagenome"
"SRR3989441","WGS","PRJNA329927","https://www.ncbi.nlm.nih.gov/biosample/SAMN05421922","0.92","2013-08-20","0.17","USA","[39.718176,-123.652732]","soil metagenome"
"ERR2210110","WGS","PRJEB23737","https://www.ncbi.nlm.nih.gov/biosample/SAMEA104412825","0.9","2011-10-21","0.11","USA","NP","soil metagenome"
"SRR17012565","WGS","PRJNA782751","https://www.ncbi.nlm.nih.gov/biosample/SAMN23393987","0.91","2019-08-09","0.12","USA","[46.97,-118.62]","soil metagenome"
"SRR5918894","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04874032","0.91","2013-03-21","0.14","Australia","[-34.88076,138.7083]","soil metagenome"
"SRR13614412","OTHER","PRJNA170725","https://www.ncbi.nlm.nih.gov/biosample/SAMN17679112","0.92","2016-08-01","0.16","Svalbard","[78.55,11.56]","soil metagenome"
"ERR3858130","WGS","PRJEB36505","https://www.ncbi.nlm.nih.gov/biosample/SAMEA6512633","0.9","2019-01-07","0.11","NP","NP","groundwater metagenome"
"SRR12619559","WGS","PRJNA662623","https://www.ncbi.nlm.nih.gov/biosample/SAMN16091610","0.93","2018-10-09","0.2","USA","[42.0308,-93.6319]","soil metagenome"
"ERR1700681","WGS","PRJEB8420","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4521331","0.91","2011-07-04","0.13","Canada","NP","soil metagenome"
"SRR10613519","WGS","PRJNA486429","https://www.ncbi.nlm.nih.gov/biosample/SAMN13518643","0.92","NP","0.16","China","[40.0047,116.3261]","air metagenome"
"SRR5919203","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04873803","0.91","2012-10-04","0.13","Australia","[-25.351,131.0423]","soil metagenome"
"SRR13708146","WGS","PRJNA701786","https://www.ncbi.nlm.nih.gov/biosample/SAMN17911233","0.93","2019-07-01","0.21","China","[36.11,117.08]","soil metagenome"
