Supplementary Table 4. Quality assessment and taxonomic classification of the prokaryotic Skin Microbial Genome Catalogue																	
identifier	genome_size	N50	completeness	contamination	5S_rRNA	LSU_rRNA_bacteria	SSU_rRNA_bacteria	Numb_tRNAs	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	novelty	Sample
SMGC_1	2533388	128237	97.49	0.37	94.96	99.73	23.03	18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__F0040	s__	Novel	SAMPLE_9
SMGC_2	2375524	70989	98.63	0	0	0	0	14	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D bicirculans	Known	SAMPLE_9
SMGC_3	2709546	41625	97.41	1.08	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria salsicia	Known	SAMPLE_9
SMGC_4	2883842	76928	97.28	0	0	0	0	20	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger formicilis	Known	SAMPLE_9
SMGC_5	1803026	29889	96.15	0	0	0	0	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__	Known	SAMPLE_9
SMGC_6	2786581	55983	98.55	0	0	0	0	16	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectale	Known	SAMPLE_9
SMGC_7	2319761	43663	99.11	0.11	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SAMPLE_13
SMGC_8	1976173	46484	98.28	0.57	0	0	0	13	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Salinicoccaceae	g__Jeotgalicoccus	s__Jeotgalicoccus marinus	Known	SAMPLE_14
SMGC_9	2155888	19676	92.58	0.49	0	0	0	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium riegelii	Known	SAMPLE_39
SMGC_10	1868856	59963	98.78	0.61	92.44	0	51.34	13	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Known	SAMPLE_47
SMGC_11	2463477	161114	98.9	1.8	94.96	53.61	0	14	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__	Novel	SAMPLE_47
SMGC_12	1795057	189178	98.78	0.61	0	0	0	17	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Lagierella	s__	Novel	SAMPLE_47
SMGC_13	1613458	132159	98.95	0	0	0	0	15	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_C	s__	Novel	SAMPLE_47
SMGC_14	1880044	103541	99.39	1.22	93.28	0	0	13	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Novel	SAMPLE_47
SMGC_15	1678913	263230	98.78	0.91	68.91	0	0	13	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__	Known	SAMPLE_47
SMGC_16	2683346	198549	97.73	0	95.8	99.69	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Tessaracoccus_A	s__	Novel	SAMPLE_47
SMGC_17	1854293	51540	98.5	0.27	0	0	0	7	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Ignavigranum	s__Ignavigranum ruoffiae	Known	SAMPLE_47
SMGC_18	2510706	83350	100	0.48	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium frankenforstense	Known	SAMPLE_47
SMGC_19	2138777	106295	97.54	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium otitidis	Known	SAMPLE_54
SMGC_20	2338882	169916	99.75	0.06	94.96	0	0	9	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus capitis	Known	SAMPLE_61
SMGC_21	3039125	21525	94.84	0.68	0	0	0	12	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii	Known	SAMPLE_63
SMGC_22	1228355	1712	61.75	1.21	0	29.54	0	11	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__	Novel	SAMPLE_85
SMGC_23	2617116	50022	99.8	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium sp000755185	Known	SAMPLE_89
SMGC_24	2645035	196709	100	0	94.96	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__	Known	SAMPLE_90
SMGC_25	1313261	6826	86.26	0.93	0	0	0	4	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Facklamia	s__Facklamia languida	Known	SAMPLE_91
SMGC_26	2143946	94186	98.42	0.45	87.39	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_91
SMGC_27	4845803	63095	100	0.15	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_A	Known	SAMPLE_105
SMGC_28	2532977	245169	99.01	0	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium humerusii	Known	SAMPLE_106
SMGC_29	1172733	8491	62.07	0.61	0	0	0	4	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__Anaerococcus sp002359915	Known	SAMPLE_123
SMGC_30	1714535	28672	98.21	0.91	0	0	0	11	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Helcococcaceae	g__Anaerococcus	s__Anaerococcus octavius	Known	SAMPLE_123
SMGC_31	1707411	106109	97.55	0	0	0	0	12	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus_A	s__Peptoniphilus_A rhinitidis	Known	SAMPLE_123
SMGC_32	2361637	78612	98.37	1.04	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_124
SMGC_33	2145908	75482	94.15	0.15	94.12	30.09	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Dermabacter	s__Dermabacter hominis	Known	SAMPLE_125
SMGC_34	2374123	142195	98.84	0	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__	Known	SAMPLE_125
SMGC_35	2525333	29174	95.6	0.88	0	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium sp001812805	Known	SAMPLE_133
SMGC_36	2359221	168746	99.67	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium namnetense	Known	SAMPLE_137
SMGC_37	3114433	18426	93.85	1.52	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus sp000967825	Known	SAMPLE_139
SMGC_38	2564143	114248	99.78	0.8	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_141
SMGC_39	2708837	205892	99.13	0.76	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__	Known	SAMPLE_141
SMGC_40	2139141	197117	99.03	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter alba	Known	SAMPLE_142
SMGC_41	5177855	254649	99.81	0	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia	s__Serratia marcescens_I	Known	SAMPLE_142
SMGC_42	2361591	143588	99.34	0	94.96	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__	Novel	SAMPLE_142
SMGC_43	2537573	16745	97.21	0.26	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium matruchotii	Known	SAMPLE_149
